word_id,relation_type,related_index,related_word_id,spelling,display_text,meaning
91419fea-861e-4ab8-aae0-19725782dfe8,derivative,1,31293e9a-ef5e-471d-8aed-7d82a1d3e8a6,accordance,accordance,n. 一致
52e57afe-8dcc-46d0-a31f-a7a10a41b9d4,near_synonym,1,8e65b727-033c-45d7-a1ce-91ddd98df1a4,native,native,adj. 本地的
01678d1e-cad6-4f77-8d51-3555e693184a,near_synonym,1,7abb50fc-10ca-436f-ae27-e2b29e9cacb0,situate,situate,vt. 使位于
01678d1e-cad6-4f77-8d51-3555e693184a,derivative,1,33f7ee93-c880-4a0c-8e8b-a2c646002cb8,location,location,n. 位置；地点
3d7384f0-021f-425e-97cb-4eeb4a0eaeb2,antonym,1,1a6c473c-eec5-40ec-917d-50ae40444c77,harmful,harmful,a. 有害的
149a3e48-c4aa-4e05-8b47-4a0c107b4888,derivative,1,34a7763e-927e-4409-82b4-b75c55f44f26,economical,economical,a. 经济的，节约的
149a3e48-c4aa-4e05-8b47-4a0c107b4888,derivative,2,7e25fcb0-7027-47f8-85e3-add575b0f267,economics,economics,n. 经济学
6ccd24f7-ab9a-4722-911f-583315e1071a,near_synonym,1,b3b37305-803d-4628-8c48-debcb2461dc6,frugality,frugality,n. 节约
6ccd24f7-ab9a-4722-911f-583315e1071a,derivative,1,149a3e48-c4aa-4e05-8b47-4a0c107b4888,economic,economic,a. 经济的
b04b2bfd-c811-4daf-975f-2558361f4aac,antonym,1,92203f09-3981-4b0f-a6c6-f0f7179c4c09,discourage,discourage,vt. 使灰心
b04b2bfd-c811-4daf-975f-2558361f4aac,derivative,1,d6468400-fceb-4bb4-b7cf-a64d800da7b2,encouraging,encouraging,a. 令人鼓舞的
ee509035-52e2-42d5-af8e-44cab931c3df,near_synonym,1,79b31af7-b49f-42d9-b595-8a463d7a022c,negative,negative,a. 消极的
ee509035-52e2-42d5-af8e-44cab931c3df,derivative,1,9bf0db06-9fe5-4301-96ea-bee8acd96f65,passively,passively,ad. 被动地
1b28da07-c470-4d29-8814-43f2774a878a,near_synonym,1,09e94f01-9e26-488b-8721-8d672d3c2acf,company,company,n. 公司
226e03a3-dcd5-4f9d-ae27-b04fc5517ab2,near_synonym,1,14b2cf64-540e-48da-883e-550cc3253c36,influence,influence,n. 影响
226e03a3-dcd5-4f9d-ae27-b04fc5517ab2,near_synonym,2,9005d805-e7c7-4cee-92b3-840f01f20bdf,affect,affect,vt. 影响
f992f7ec-dad8-4ef6-9310-fb48bf3c3735,near_synonym,1,871c1eb9-e534-40d7-8770-6913582010d9,verify,verify,vt. 证实
f992f7ec-dad8-4ef6-9310-fb48bf3c3735,antonym,1,84247cf0-f44f-49ac-9323-6ee8673b917a,deny,deny,vt. 否认
e6ada86c-cdcf-4b63-bbeb-093b0ca9f2ce,near_synonym,1,aefe381a-28cc-4a20-9d5c-af5c28b9d943,expend,expend,vt. 消耗
e6ada86c-cdcf-4b63-bbeb-093b0ca9f2ce,derivative,1,f4ba8625-46be-47f9-ba0c-db387f938c67,consumer,consumer,n. 消费者
8ab9c302-698f-4983-982b-9cba3b580e39,near_synonym,1,e560a365-f384-48ea-bb0e-16f83cb10387,environment,environment,n. 环境
dd63b5fb-0630-4771-b9c8-61a65da20bde,near_synonym,1,8dd9c500-d56f-4995-8b01-634dc2bd6947,friend,friend,n. 朋友
dd63b5fb-0630-4771-b9c8-61a65da20bde,near_synonym,2,e0cde614-58de-4ce9-bf86-919b7522d36d,partner,partner,n. 同伴
68ab6915-216f-4cb9-ac5b-f4770ae7bebd,antonym,1,f48bf79f-7271-4cb9-8390-4c7f93942412,unconcern,unconcern,n. 不关心
68ab6915-216f-4cb9-ac5b-f4770ae7bebd,derivative,1,60d56afa-43e9-447c-8406-8acb9e4875a7,concerned,concerned,a. 担心的
4a3458b5-0cb6-41ac-99d8-6254eacb5376,near_synonym,1,36a3e395-cbca-4669-a077-61ece726cda1,gesture,gesture,n. 姿势
4a3458b5-0cb6-41ac-99d8-6254eacb5376,derivative,1,91c9e2c5-0653-4a4c-9cdb-2460331dbd83,position,position,n. 位置
dfc0fc95-d463-4a0e-b57f-97240bb3ee99,near_synonym,1,f33b3449-2cf6-473b-b26f-048f79a209e2,active,active,a. 积极的
dfc0fc95-d463-4a0e-b57f-97240bb3ee99,antonym,1,79b31af7-b49f-42d9-b595-8a463d7a022c,negative,negative,a. 消极的；负面的
57a78b1c-e985-4e8f-8fbc-486776feaf6c,near_synonym,1,5a7c8c35-e5e4-4b9d-a92c-a32d3db31cae,procedure,procedure,n. 过程
57a78b1c-e985-4e8f-8fbc-486776feaf6c,derivative,1,cc50e62f-12c8-4538-aa6e-1e6c08ab006f,processor,processor,n. 处理器
09de9eb6-5bde-44b4-81c1-5145759489af,near_synonym,1,bedaa0aa-1f7d-4d38-8fcc-0313e267182c,convey,convey,v. 传达
09de9eb6-5bde-44b4-81c1-5145759489af,derivative,1,664ad8e8-765c-4906-bffe-67c49bc501d0,communication,communication,n. 沟通
8f4dafed-ccc8-417e-adec-bc10c39d86ec,near_synonym,1,57787610-87a9-4f56-8c22-a9cac1469ac7,organization,organization,n. 团体
8f4dafed-ccc8-417e-adec-bc10c39d86ec,near_synonym,2,7641adc1-8d05-470f-b5d0-fb61a247fdb1,group,group,n. 团体
49712486-7250-4285-8335-3214c46da5d8,antonym,1,48454765-83e1-47d5-b298-ad99af610529,accept,accept,v. 接受
49712486-7250-4285-8335-3214c46da5d8,derivative,1,ba3d322d-7de7-46c9-9328-ca90f8acfbcc,rejection,rejection,n. 拒绝
4dab4c11-8ee4-443a-b76f-b51e0635e3ea,near_synonym,1,6b431c3e-370a-4658-b9a3-74f4f454dfcd,division,division,n. 分开
4dab4c11-8ee4-443a-b76f-b51e0635e3ea,near_synonym,2,13d0227e-a43c-4d38-a673-0659735ddc13,separate,separate,v. （使）分开
b43a9f9d-b11f-485f-8f57-e26adfe58791,near_synonym,1,845b5172-da27-4c96-a5d9-fd95a45feb81,moderate,moderate,a. 中等的
b43a9f9d-b11f-485f-8f57-e26adfe58791,antonym,1,1439af4d-3b36-4ed9-8fde-60c83e91a0d7,vehicle,vehicle,n. 媒介
36911b43-31e2-4d1d-8fcd-8d26a12012d6,near_synonym,1,4bbf9a7c-d339-4206-83f0-1e3bd414969a,style,style,v. 设计
36911b43-31e2-4d1d-8fcd-8d26a12012d6,derivative,1,d925d36e-7b8b-4147-99b4-140a3b1534aa,designer,designer,n. 设计师
b0805971-d99c-41de-bb21-9d9ff49693a4,near_synonym,1,01b9b267-a642-4c3c-bd08-31630d8133e2,instruction,instruction,n. 命令
b0805971-d99c-41de-bb21-9d9ff49693a4,derivative,1,7acd6211-3580-4a65-b684-25e391deb961,commander,commander,n. 指挥官
443c4f81-060e-4551-aaac-16368efcbc88,near_synonym,1,7083dab8-0219-4491-8d26-cb7c857d5618,requirement,requirement,n. 要求
443c4f81-060e-4551-aaac-16368efcbc88,derivative,1,48af33b8-2f2e-4a93-b397-c2da99c4d2bf,demanding,demanding,a. 要求高的
f511b2e0-e72d-4b5e-b9e3-202ed9d46351,near_synonym,1,2a725236-5d27-4ad0-bdd2-2868e0e7d8f0,psychological,psychological,a. 心理上的
f511b2e0-e72d-4b5e-b9e3-202ed9d46351,derivative,1,ce2682cb-ab90-42be-90d1-b507b4151b71,mentally,mentally,ad. 精神上地
79b31af7-b49f-42d9-b595-8a463d7a022c,near_synonym,1,ee509035-52e2-42d5-af8e-44cab931c3df,passive,passive,a. 消极的
