word_id,long_sentence_id,segment_index,role,role_label,text,gloss,level,spine
597eb4d1-348d-47dc-9bb7-dfcf1712cfa1,29ae340b-fc47-4ff0-9c96-13f932be2a83,1,subj,主语从句,What many aspiring professionals fail to realize,许多有抱负的专业人士没有意识到的事情,0,true
597eb4d1-348d-47dc-9bb7-dfcf1712cfa1,29ae340b-fc47-4ff0-9c96-13f932be2a83,2,pred,谓语, is that,是,0,true
597eb4d1-348d-47dc-9bb7-dfcf1712cfa1,29ae340b-fc47-4ff0-9c96-13f932be2a83,3,adv,时间状语, the moment they enter a highly competitive industry,他们一进入竞争激烈的行业,1,false
597eb4d1-348d-47dc-9bb7-dfcf1712cfa1,29ae340b-fc47-4ff0-9c96-13f932be2a83,4,scomp,表语从句,", they must quickly adapt to its unspoken rules and intricate power dynamics",他们必须迅速适应其不成文的规则和错综复杂的权力动态,1,true
597eb4d1-348d-47dc-9bb7-dfcf1712cfa1,29ae340b-fc47-4ff0-9c96-13f932be2a83,5,attr,定语从句,", which often determine career trajectories more decisively than technical skills alone",这些规则和动态往往比单纯的技术能力更能决定职业轨迹,2,false
597eb4d1-348d-47dc-9bb7-dfcf1712cfa1,29ae340b-fc47-4ff0-9c96-13f932be2a83,6,appos,同位语,", a reality that can be both daunting and enlightening",这一现实既令人望而生畏，又发人深省,2,false
597eb4d1-348d-47dc-9bb7-dfcf1712cfa1,29ae340b-fc47-4ff0-9c96-13f932be2a83,7,,,.,,0,false
dad251fe-fa3a-420a-9a47-02bb73c9083d,06ddac64-9b20-48f7-9bc0-2c0ddab3a2a0,1,subj,主语,Local health officials,地方卫生官员,0,true
dad251fe-fa3a-420a-9a47-02bb73c9083d,06ddac64-9b20-48f7-9bc0-2c0ddab3a2a0,2,attr,后置定语,", increasingly concerned about the long-term consequences of poor dietary habits among adolescents",越来越担心青少年不良饮食习惯的长期后果,1,false
dad251fe-fa3a-420a-9a47-02bb73c9083d,06ddac64-9b20-48f7-9bc0-2c0ddab3a2a0,3,pred,谓语,", have launched",发起了,0,true
dad251fe-fa3a-420a-9a47-02bb73c9083d,06ddac64-9b20-48f7-9bc0-2c0ddab3a2a0,4,obj,宾语, a new school-based initiative,一项新的学校项目,0,true
dad251fe-fa3a-420a-9a47-02bb73c9083d,06ddac64-9b20-48f7-9bc0-2c0ddab3a2a0,5,attr,定语从句, that encourages students,这个项目鼓励学生每天吃均衡的早餐,1,false
dad251fe-fa3a-420a-9a47-02bb73c9083d,06ddac64-9b20-48f7-9bc0-2c0ddab3a2a0,6,attr,后置定语, to eat a balanced breakfast every day,吃均衡的早餐,2,false
dad251fe-fa3a-420a-9a47-02bb73c9083d,06ddac64-9b20-48f7-9bc0-2c0ddab3a2a0,7,adv,原因状语,", because research consistently shows",因为研究一致表明,1,false
dad251fe-fa3a-420a-9a47-02bb73c9083d,06ddac64-9b20-48f7-9bc0-2c0ddab3a2a0,8,obj,宾语从句, that morning nutrition significantly affects cognitive performance and academic outcomes,早晨的营养显著影响认知表现和学业成绩,2,false
dad251fe-fa3a-420a-9a47-02bb73c9083d,06ddac64-9b20-48f7-9bc0-2c0ddab3a2a0,9,appos,同位语,", a finding that",这一发现,1,false
dad251fe-fa3a-420a-9a47-02bb73c9083d,06ddac64-9b20-48f7-9bc0-2c0ddab3a2a0,10,pred,从句谓语, has prompted many districts to revise their wellness policies,促使许多学区修订了健康政策,1,false
dad251fe-fa3a-420a-9a47-02bb73c9083d,06ddac64-9b20-48f7-9bc0-2c0ddab3a2a0,11,,,.,,0,false
bb579196-8b02-4b50-b1bb-e12b8dd632cc,e930e143-5dd3-436c-831c-6627a3b9c6ed,1,subj,主语,Large community analysts,大型社区分析人士,0,true
bb579196-8b02-4b50-b1bb-e12b8dd632cc,e930e143-5dd3-436c-831c-6627a3b9c6ed,2,attr,定语从句,", who have long monitored the nutritional habits of urban populations",他们长期监测城市居民的营养习惯,1,false
bb579196-8b02-4b50-b1bb-e12b8dd632cc,e930e143-5dd3-436c-831c-6627a3b9c6ed,3,pred,谓语,", argue that",指出,0,true
bb579196-8b02-4b50-b1bb-e12b8dd632cc,e930e143-5dd3-436c-831c-6627a3b9c6ed,4,subj,从句主语, the traditional family meal,传统的家庭聚餐,1,true
bb579196-8b02-4b50-b1bb-e12b8dd632cc,e930e143-5dd3-436c-831c-6627a3b9c6ed,5,attr,后置定语,", once a daily ritual in most households",曾经是大多数家庭的日常仪式,2,false
bb579196-8b02-4b50-b1bb-e12b8dd632cc,e930e143-5dd3-436c-831c-6627a3b9c6ed,6,pred,从句谓语,", is gradually being replaced",正逐渐被取代,1,true
bb579196-8b02-4b50-b1bb-e12b8dd632cc,e930e143-5dd3-436c-831c-6627a3b9c6ed,7,obj,宾语, by fragmented eating patterns,被碎片化的进食模式,1,true
bb579196-8b02-4b50-b1bb-e12b8dd632cc,e930e143-5dd3-436c-831c-6627a3b9c6ed,8,adv,原因状语, because work schedules and digital distractions have fundamentally altered how people allocate their time,因为工作安排和数字干扰从根本上改变了人们分配时间的方式,2,false
bb579196-8b02-4b50-b1bb-e12b8dd632cc,e930e143-5dd3-436c-831c-6627a3b9c6ed,9,attr,定语从句,", which in turn affects not only dietary quality but also social cohesion within families",这反过来不仅影响饮食质量，也影响家庭内的社会凝聚力,2,false
bb579196-8b02-4b50-b1bb-e12b8dd632cc,e930e143-5dd3-436c-831c-6627a3b9c6ed,10,,,.,,0,false
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,59994165-b701-4716-9301-951a15d5bf6c,1,adv,时间状语,As the public debate over data privacy intensified,随着公众对数据隐私的争论愈演愈烈,1,false
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,59994165-b701-4716-9301-951a15d5bf6c,2,subj,主语,", the technology company",这家科技公司,0,true
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,59994165-b701-4716-9301-951a15d5bf6c,3,adv,原因状语,", having failed to reach a settlement with the plaintiffs",由于未能与原告达成和解,1,false
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,59994165-b701-4716-9301-951a15d5bf6c,4,pred,谓语,", reluctantly entered the court",不情愿地走进法庭,0,true
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,59994165-b701-4716-9301-951a15d5bf6c,5,adv,目的状语, to defend its data collection practices,为其数据收集行为辩护,1,false
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,59994165-b701-4716-9301-951a15d5bf6c,6,attr,定语从句,", which had been challenged by consumer advocacy groups",这些行为早已受到消费者权益团体的质疑,1,false
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,59994165-b701-4716-9301-951a15d5bf6c,7,attr,定语从句, that argued the methods violated fundamental rights,他们认为这些做法侵犯了基本权利,2,false
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,59994165-b701-4716-9301-951a15d5bf6c,8,,,.,,0,false
23228a76-0482-4b5a-a9c0-4084908853cd,8e70ff7c-3f2e-45e1-815e-88f9d975b599,1,subj,主语,These regional experiments in urban micro-farming,这些地区性实验,0,true
23228a76-0482-4b5a-a9c0-4084908853cd,8e70ff7c-3f2e-45e1-815e-88f9d975b599,2,attr,定语从句,", which initially focused on converting abandoned lots into shared vegetable gardens",起初专注于把废弃地块改造成共享菜园,1,false
23228a76-0482-4b5a-a9c0-4084908853cd,8e70ff7c-3f2e-45e1-815e-88f9d975b599,3,pred,谓语,", have gradually reshaped",逐渐重塑了,0,true
23228a76-0482-4b5a-a9c0-4084908853cd,8e70ff7c-3f2e-45e1-815e-88f9d975b599,4,obj,宾语, the way residents perceive their immediate environment,居民看待身边环境的方式,0,true
