table_file,field_name,category,data_type,source_path,description,primary_key
analysis_seen_marks.csv,word_id,empty_table,string,editorial.analysis_seen_marks[].word_id,无个人查看历史，保留表头。,true
analysis_seen_marks.csv,raw_json,empty_table,json,editorial.analysis_seen_marks[].raw_json,该表保持零行；不制造个人查看历史。,false
books.csv,book_id,constant,string,editorial.books[].book_id,本项目原创词书固定标识,true
books.csv,book_code,constant,string,editorial.books[].book_code,稳定代码；不得覆盖 cet6,false
books.csv,book_name,constant,string,editorial.books[].book_name,词书显示名称,false
books.csv,target_exam,constant,string|null,editorial.books[].target_exam,目标考试,false
books.csv,total_words_metadata,computed,integer,editorial.books[].total_words_metadata,由冻结词表的学习词条数 N 生成；5418 是合并级别的原书印刷统计，不可写成四级词数。,false
books.csv,enumerated_unique_words,computed,integer,editorial.books[].enumerated_unique_words,由实际导出 words.csv 唯一 word_id 数生成；来源是本项目导出，不是双接口枚举。,false
books.csv,metadata_difference,computed,integer,editorial.books[].metadata_difference,total_words_metadata 减 enumerated_unique_words；完整正式版必须为 0。源 PDF 印刷统计差异另记 sources.json。,false
books.csv,root_count,computed,integer,editorial.books[].root_count,root_markups 中全部构词类型的唯一 root_id 总数；真正词根数另在 book.json.statistics 中统计。,false
books.csv,purchase_status,constant,string,editorial.books[].purchase_status,原创词书，无上游购买经历,false
books.csv,lifecycle_status,constant,string,editorial.books[].lifecycle_status,仅在正式发布流程中改为 published,false
books.csv,is_active,constant,boolean,editorial.books[].is_active,不替用户切换当前词书,false
books.csv,currently_available,constant,boolean,editorial.books[].currently_available,草稿不能作为已发布词书使用；发布后由实际状态填写,false
books.csv,current_period_ends_at,empty,datetime|null,editorial.books[].current_period_ends_at,上游私有元数据或个人状态不适用，空字符串；不带凭据、隐藏提示或追踪信息。,false
books.csv,final_ends_at,empty,datetime|null,editorial.books[].final_ends_at,上游私有元数据或个人状态不适用，空字符串；不带凭据、隐藏提示或追踪信息。,false
collocations.csv,word_id,registry,string,editorial.collocations[].word_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,false
collocations.csv,collocation_id,registry,string,editorial.collocations[].collocation_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,true
collocations.csv,order_index,computed,integer,editorial.collocations[].order_index,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,false
collocations.csv,phrase,original_editorial,string,editorial.collocations[].phrase,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,false
collocations.csv,meaning,original_editorial,string|null,editorial.collocations[].meaning,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,false
collocations.csv,example,original_editorial,string|null,editorial.collocations[].example,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,false
exam_examples.csv,word_id,registry,string,editorial.exam_examples[].word_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,false
exam_examples.csv,exam_example_id,registry,string,editorial.exam_examples[].exam_example_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,true
exam_examples.csv,order_index,computed,integer,editorial.exam_examples[].order_index,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,false
exam_examples.csv,sentence,verified_exam_source,string,editorial.exam_examples[].sentence,英文摘录及出处必须可核验；翻译与用法讲解原创。无证据不创建行。,false
exam_examples.csv,translation,verified_exam_source,string,editorial.exam_examples[].translation,英文摘录及出处必须可核验；翻译与用法讲解原创。无证据不创建行。,false
exam_examples.csv,matched_surface,verified_exam_source,string|null,editorial.exam_examples[].matched_surface,英文摘录及出处必须可核验；翻译与用法讲解原创。无证据不创建行。,false
exam_examples.csv,target_word_analysis,verified_exam_source,string|null,editorial.exam_examples[].target_word_analysis,英文摘录及出处必须可核验；翻译与用法讲解原创。无证据不创建行。,false
exam_examples.csv,exam_context,verified_exam_source,string|null,editorial.exam_examples[].exam_context,英文摘录及出处必须可核验；翻译与用法讲解原创。无证据不创建行。,false
exam_examples.csv,difficulty_rationale,verified_exam_source,string|null,editorial.exam_examples[].difficulty_rationale,英文摘录及出处必须可核验；翻译与用法讲解原创。无证据不创建行。,false
exam_examples.csv,source_year,verified_exam_source,integer|null,editorial.exam_examples[].source_year,有记录时必填，必须由已核验试卷得出。,false
exam_examples.csv,source_paper,verified_exam_source,string|null,editorial.exam_examples[].source_paper,有记录时必填，包含年份、月份/考次与套卷信息；证据台账另存 URL 和页码。,false
exam_examples.csv,source_section,verified_exam_source,string|null,editorial.exam_examples[].source_section,有记录时必填，注明题型、段落或题号，可回到原文定位。,false
exam_examples.csv,source_exam_type,constant,string|null,editorial.exam_examples[].source_exam_type,只允许可核验的四级考题,false
examples.csv,word_id,registry,string,editorial.examples[].word_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,false
examples.csv,example_id,registry,string,editorial.examples[].example_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,true
examples.csv,order_index,computed,integer,editorial.examples[].order_index,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,false
examples.csv,sentence,original_editorial,string,editorial.examples[].sentence,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,false
examples.csv,translation,original_editorial,string,editorial.examples[].translation,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,false
examples.csv,matched_surface,original_editorial,string|null,editorial.examples[].matched_surface,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,false
examples.csv,context_explanation,original_editorial,string|null,editorial.examples[].context_explanation,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,false
examples.csv,difficulty_rationale,original_editorial,string|null,editorial.examples[].difficulty_rationale,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,false
field_dictionary.csv,table_file,computed,string,editorial.field_dictionary[].table_file,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,true
field_dictionary.csv,field_name,computed,string,editorial.field_dictionary[].field_name,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,true
field_dictionary.csv,category,computed,string,editorial.field_dictionary[].category,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,false
field_dictionary.csv,data_type,computed,string,editorial.field_dictionary[].data_type,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,false
field_dictionary.csv,source_path,computed,string,editorial.field_dictionary[].source_path,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,false
field_dictionary.csv,description,computed,string,editorial.field_dictionary[].description,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,false
field_dictionary.csv,primary_key,computed,boolean,editorial.field_dictionary[].primary_key,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,false
frequencies.csv,word_id,registry,string,editorial.frequencies[].word_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,true
frequencies.csv,exam_type,computed_from_corpus,string,editorial.frequencies[].exam_type,使用 cet4；年份、套卷覆盖、归并与去重规则在语料清单里记录，不拼进考试类型。,true
frequencies.csv,frequency_count,computed,integer,editorial.frequencies[].frequency_count,由冻结真题语料实际统计，非负整数；没有语料记录时整行缺省，不能用 0 表示未查。,false
frequencies.csv,per_10k_words,computed_from_corpus,number,editorial.frequencies[].per_10k_words,实际出现次数 / 已声明的有效语料总词数 × 10000；分母与归并规则须可复现。,false
long_sentence_analysis.csv,word_id,registry,string,editorial.long_sentence_analysis[].word_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,false
long_sentence_analysis.csv,long_sentence_id,registry,string,editorial.long_sentence_analysis[].long_sentence_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,true
long_sentence_analysis.csv,section_index,computed,integer,editorial.long_sentence_analysis[].section_index,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,true
long_sentence_analysis.csv,section_kind,original_editorial,string,editorial.long_sentence_analysis[].section_kind,采用现有结构分类 structure/difficulty/target/transfer/culture；按内容选用，文化解释不要求凑数。,false
long_sentence_analysis.csv,item_index,computed,integer,editorial.long_sentence_analysis[].item_index,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,true
long_sentence_analysis.csv,dimension,original_editorial,string,editorial.long_sentence_analysis[].dimension,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,false
long_sentence_analysis.csv,keyword,original_editorial,string,editorial.long_sentence_analysis[].keyword,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,false
long_sentence_analysis.csv,refs_json,original_editorial,json,editorial.long_sentence_analysis[].refs_json,JSON 非负整数数组；每项均为本句有效 segment_index。,false
long_sentence_analysis.csv,analysis_text,original_editorial,string,editorial.long_sentence_analysis[].analysis_text,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,false
long_sentence_analysis.csv,examples_json,original_editorial,json|null,editorial.long_sentence_analysis[].examples_json,"可空或 JSON 二维数组 [[英文,中文],…]；迁移句必须与分析相关。",false
long_sentence_segments.csv,word_id,registry,string,editorial.long_sentence_segments[].word_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,false
long_sentence_segments.csv,long_sentence_id,registry,string,editorial.long_sentence_segments[].long_sentence_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,true
long_sentence_segments.csv,segment_index,computed,integer,editorial.long_sentence_segments[].segment_index,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,true
long_sentence_segments.csv,role,original_editorial,string|null,editorial.long_sentence_segments[].role,采用已有角色 subj/pred/obj/attr/adv/appos/ocomp/scomp；无标签时可空但需解释，不捏造句法。,false
