word_id,spelling,lemma,source_roles,translation_reference,category,review_status,decision,reason,evidence,reviewed_at
cet4-w-2a5ce4035df85fb684d5,accounting,account,listed_related,"n. 会计学, 帐单, 清帐
[计] 帐户处理, 记帐",lexicalized,editorial_reviewed,retain_independent,会计、会计学，是专业或业务名称。,references/lexical.csv#cet4-w-2a5ce4035df85fb684d5,2026-09-17
cet4-w-12952370deeb322c92b6,acting,act,listed_related,"n. 演戏, 装腔作势
a. 代理的, 演出用的, 起作用的",lexicalized,editorial_reviewed,retain_independent,表演这一活动，以及代理职务的形容词用法。,references/lexical.csv#cet4-w-12952370deeb322c92b6,2026-09-17
cet4-w-7d7b5cb0fd482530edf8,advanced,advance,listed_related,"a. 在前的, 高级的, 先进的, 年老的
[法] 预付的, 预支的, 垫付的",lexicalized,editorial_reviewed,retain_independent,高级的、先进的，用于描述程度或水平。,references/lexical.csv#cet4-w-7d7b5cb0fd482530edf8,2026-09-17
cet4-w-3b16e43a39094468b1ab,aged,age,listed_related,"a. 老的, 陈的, 有...岁的
[化] 老化的; 老化了的; 陈化的; 陈化了的",lexicalized,editorial_reviewed,retain_independent,年老的、某岁数的，保留年龄表达与读音区别。,references/lexical.csv#cet4-w-3b16e43a39094468b1ab,2026-09-17
cet4-w-0723e3d778f3f044c45b,AIDS,aid,headword,"n. 爱滋病(获得性免疫缺陷综合征)
[计] 高级综合数据系统, 先进交互调试系统, 自动图解文档编制系统
美国决策学学会, 信息自动显示系统, 自动综合调试系统",false_lemma,editorial_reviewed,retain_independent,疾病名称缩写；不能当作 aid 的第三人称单数。,references/lexical.csv#cet4-w-0723e3d778f3f044c45b,2026-09-17
cet4-w-760c96a5ae4e10b05524,alleged,allege,listed_related,"a. 被断言的, 所谓的
[法] 提出而尚未证实的, 声称的, 宣称的",lexicalized,editorial_reviewed,retain_independent,所谓的、被指称的，含尚未证实之意。,references/lexical.csv#cet4-w-760c96a5ae4e10b05524,2026-09-17
cet4-w-6ebe7811deb3d5c6ea1c,appealing,appeal,listed_related,"a. 有感染力的, 动人的, 恳求的",lexicalized,editorial_reviewed,retain_independent,有吸引力的，描述事物令人喜欢的性质。,references/lexical.csv#cet4-w-6ebe7811deb3d5c6ea1c,2026-09-17
cet4-w-e9718e53908641cd97e0,bacteria,bacterium,headword,"pl. 细菌
[医] 细菌, [无芽胞]杆菌",syllabus_form,editorial_reviewed,retain_independent,考纲采用的细菌复数形式；当前目标表不另列 bacterium，在本条补单数。,references/lexical.csv#cet4-w-e9718e53908641cd97e0,2026-09-17
cet4-w-2f40e346a5e8e9a8a296,banking,bank,listed_related,"n. 银行业务
[经] 银行业, 银行事务",lexicalized,editorial_reviewed,retain_independent,银行业、银行业务，是行业名称。,references/lexical.csv#cet4-w-2f40e346a5e8e9a8a296,2026-09-17
cet4-w-4dfd084c6de0495a2bde,bearing,bear,headword,"n. 举止, 轴承, 忍受, 关系, 意义, 方向, 生育
[化] 轴承",lexicalized,editorial_reviewed,retain_independent,轴承、方位、关系、举止等独立名词义。,references/lexical.csv#cet4-w-4dfd084c6de0495a2bde,2026-09-17
