spelling	pronunciation	definitionCn	memoryMarkup	example	translation	collocation	collocationMeaning	note
a	强读 /eɪ/；弱读 /ə/	art. 一；一个；每一。	早餐店里伸出一根手指，a bun，一个包子。a 先陪着一个可数的东西出现；a day 则像日历一格一格翻，表示每一天。	I bought a notebook for the course.	我为这门课买了一本笔记本。	a cup of tea	一杯茶	a/an 按后面紧接的发音选择，a university 的开头是辅音 /j/。
abandon	/əˈbændən/	v. 放弃；抛弃；遗弃。	把 a band on 当成拼写小游戏。一支乐队已经在台上，主唱却丢下话筒走了，留下队友干瞪眼。抓住“丢下不管”，就是 abandon。这是场景联想，三个熟词不是真实构词。	They had to abandon the trip because of the storm.	暴风雨迫使他们放弃这次旅行。	abandon a plan	放弃计划	可说 abandon doing sth.；不把 -d、-on 解释成独立动词后缀。
aboard	/əˈbɔːd/	adv. 在船、飞机、火车等交通工具上；上船等。prep. 在……上。	board 有登机、上船的意思。广播响起 All aboard!，站台上的人赶紧上车。看见 aboard 里的 board，就想到人已经跨进交通工具了。	All the passengers are safely aboard.	所有乘客都已安全登机。	go aboard	登上船、飞机等	aboard 指在交通工具上；abroad 指在国外，字母位置别调换。
abolish	/əˈbɒlɪʃ/	v. 废除；取消。	学校把沿用多年的旧规定撤掉，门口那张“禁止进入”的告示也摘了下来。abolish 就记这一下正式废除，让规定从此不再生效。	The school voted to abolish the outdated rule.	学校投票决定废除那条过时的规定。	abolish a law	废除一项法律	用于制度、法律、做法的取消，通常不表示撤销一次普通预约。
abolition	/ˌæbəˈlɪʃən/	n. 废除；废止。	abolish 是把旧规定撤掉；通知贴出来，上面写着“该规定的废除”，谈的这件事就叫 abolition。把动作变成事情的名称，拼写一起记 abolish → abolition。	Residents welcomed the abolition of the fee.	居民欢迎取消这项收费。	the abolition of slavery	奴隶制的废除	与 abolish 连记，注意 -lish 到 -lition 的拼写变化。
about	/əˈbaʊt/	prep. 关于；在……周围。adv. 大约；到处。	网站菜单里的 About 点进去，讲的就是“关于我们”。再看 about ten people，大约十个人，人数只说到附近，没钉死在十这个点上。	We talked about the journey over dinner.	吃晚饭时，我们聊了聊那次旅行。	be about to do	即将做某事	what about 可用来提出建议或询问情况。
above	/əˈbʌv/	prep. 在……上方；超过。adv. 在上面。	电梯数字从五跳到六，再跳到七。你家在五楼，亮起来的这些楼层都在你家 above，上方。数量超过一条线，也能用 above。	The shelf above the desk holds my dictionaries.	书桌上方的架子放着我的词典。	above average	高于平均水平	通常只说明位置更高，不一定在正上方。
abroad	/əˈbrɔːd/	adv. 在国外；到国外。	把 abroad 中的 broad 和宽广联系起来。地图展开，目光越过国界，看向更宽的世界，记住 go abroad，出国。这个画面也帮你同 aboard 的登机分开。	She hopes to study abroad next year.	她希望明年到国外学习。	study abroad	出国留学	abroad 是副词，通常说 go abroad，不加 to。
absence	/ˈæbsəns/	n. 缺席；不在；缺乏。	点名时老师喊了三遍，那个座位还是空着。absent 是人没来，absence 则是点名册上记下的“这次缺席”。两词一起看，末尾 -t 换成 -ce。	Please explain your absence from yesterday's meeting.	请说明你昨天缺席会议的原因。	in the absence of	在缺少……的情况下	absence of evidence 表示缺乏证据，不能由此直接推出事件不存在。
absent	adj. /ˈæbsənt/；v. /æbˈsent/	adj. 缺席的；不在的；心不在焉的。v. 使缺席。	座位在，人不在；名字被叫到了，也没人答到。把 absent 放在这张空椅子上记。眼前坐着人，心思却跑远了，还可以说 an absent look，心不在焉的神情。	Two students were absent from class today.	今天有两名学生没来上课。	be absent from	缺席；不在场	动词 absent oneself from 较正式，重音与形容词不同。
absolute	/ˈæbsəluːt/	adj. 绝对的；完全的。	借了同学的耳机，本来只想听一句，结果整个世界都安静了。用 absolute silence 记“完全的寂静”，连一点杂音也没有。	The room fell into absolute silence.	房间里变得鸦雀无声。	absolute confidence	十足的信心	绝对含义通常不作普通程度比较；absolutely 是相应副词。
absorb	/əbˈzɔːb/	v. 吸收；吸引全部注意力；理解、掌握。	干海绵碰到桌上的水，水一点点收进去。把 sor 的字形借来提醒自己“收”，记住 absorb 的吸收。读小说读得听不见别人叫你，是注意力也被吸进去了。	The towel quickly absorbed the water.	毛巾很快吸干了水。	be absorbed in	全神贯注于	“收”只是中文联想，实际发音按音标读；sorb 才是可核验的构词部分。
absorption	/əbˈzɔːpʃən/	n. 吸收；全神贯注。	看纸巾上的水印一点点扩大，absorb 是吸进去，absorption 是这段吸收过程。连写 absorb → absorption 时，留意 b 变成了 p。	The experiment measured the absorption of water by the soil.	实验测量了土壤对水的吸收。	absorption of light	光的吸收	作吸收讲通常不可数，不能把 absorb 的 b 原样带入 absorption。
abstract	adj./n. /ˈæbstrækt/；v. /æbˈstrækt/	adj. 抽象的。n. 摘要。v. 提取；概括。	桌上的三只苹果看得见，单独写个“三”，苹果已经不见了。把具体东西拿开，留下共同概念，记 abstract 的抽象。论文前面抽出要点写的一小段，也叫 abstract。	Read the abstract before downloading the whole paper.	下载整篇论文之前，先读一下摘要。	an abstract concept	抽象概念	名词、形容词首音节重读；动词通常后面重读。
abundance	/əˈbʌndəns/	n. 大量；丰富；充足。	果园丰收，树上挂满，筐里装满，地上还落着不少。abundant 是“多得很”，abundance 是眼前这一片富足。	The garden has an abundance of butterflies in summer.	夏天花园里有许多蝴蝶。	an abundance of	大量的	常与 an 连用构成 an abundance of，不需把 abundance 当普通复数名词。
abundant	/əˈbʌndənt/	adj. 大量的；丰富的；充裕的。	中间的 bun 是小圆面包，可把它当字形提示。早餐桌上一筐面包，吃完又端来一筐，供应真 abundant。借这个满满当当的画面记丰富、充足。	The region has abundant supplies of fresh water.	这个地区淡水供应充足。	abundant resources	丰富的资源	bun 只用来提示拼写，不参与真实构词。
abuse	n. /əˈbjuːs/；v. /əˈbjuːz/	n. 滥用；虐待；辱骂。v. 滥用；虐待；辱骂。	盯住结尾的 use，正常使用是 use，把权力拿来欺负人，就到了 abuse，滥用。再把伤害落到具体的人身上，就有虐待、辱骂的意思。	No one should abuse the trust placed in them.	任何人都不该辜负别人给予的信任。	abuse of power	滥用权力	名词末尾读 /s/，动词末尾读 /z/。
abusive	/əˈbjuːsɪv/	adj. 辱骂的；虐待的。	聊天框里有人开始一句接一句地骂人，那些话是 abusive language。抓住 abuse 的伤害，再用 abusive 描写这种恶劣的言语或行为。	The moderator removed the abusive comments.	管理员删除了那些辱骂性的评论。	abusive language	辱骂性语言	不要机械解释成“上瘾的”或“被滥用的”，注意具体被修饰对象。
academic	/ˌækəˈdemɪk/	adj. 学术的；大学教学的；理论上的。n. 大学教师；学者。	论文封面、课堂讨论、研究报告，把这几样摆到一张大学书桌上，academic 就有了落脚处。看到 academic year，记它是学校的一学年。	The library provides access to academic journals.	图书馆提供学术期刊的查阅服务。	academic research	学术研究	academic 作名词可指大学教师或研究者，不泛指所有大学生。
academician	/əˌkædəˈmɪʃən/	n. 院士；学术团体成员。	先记 academy 是学术机构，再看挂在墙上的成员名单。academician 指入选这类学术团体的人，在常见中文语境里对应院士。	The academy elected her as an academician.	该学术机构选举她为院士。	an elected academician	当选的院士	不能把 academician 当作所有大学教师的统称；后者常用 academic。
