table_file,field_name,original_data_type,fill_method,required_when,default_value,editorial_source_path,rule,original_source_path,original_description
analysis_seen_marks.csv,word_id,string,empty_table,不生成行,,editorial.analysis_seen_marks[].word_id,无个人查看历史，保留表头。,detail.content.analysis_seen_marks[].parent,单词 ID
analysis_seen_marks.csv,raw_json,json,empty_table,不生成行,,editorial.analysis_seen_marks[].raw_json,该表保持零行；不制造个人查看历史。,detail.content.analysis_seen_marks[],服务端原始标记对象
books.csv,book_id,string,constant,有行时必填,cyword-cet4,editorial.books[].book_id,本项目原创词书固定标识,books[].book.id,词书唯一标识
books.csv,book_code,string,constant,有行时必填,cet4,editorial.books[].book_code,稳定代码；不得覆盖 cet6,books[].book.code,稳定词书代码
books.csv,book_name,string,constant,有行时必填,大学英语四级,editorial.books[].book_name,词书显示名称,books[].book.name,词书名称
books.csv,target_exam,string|null,constant,有行时必填,cet4,editorial.books[].target_exam,目标考试,books[].book.target_exam,目标考试类型
books.csv,total_words_metadata,integer,computed,有行时必填,,editorial.books[].total_words_metadata,由冻结词表的学习词条数 N 生成；5418 是合并级别的原书印刷统计，不可写成四级词数。,books[].book.total_words,词书元数据标称词数
books.csv,enumerated_unique_words,integer,computed,有行时必填,,editorial.books[].enumerated_unique_words,由实际导出 words.csv 唯一 word_id 数生成；来源是本项目导出，不是双接口枚举。,books[].integrity.enumerated_unique_words,DAY 与候选词接口一致的实际可枚举词数
books.csv,metadata_difference,integer,computed,有行时必填,,editorial.books[].metadata_difference,total_words_metadata 减 enumerated_unique_words；完整正式版必须为 0。源 PDF 印刷统计差异另记 sources.json。,derived,标称词数减实际可枚举词数
books.csv,root_count,integer,computed,有行时必填,,editorial.books[].root_count,root_markups 中全部构词类型的唯一 root_id 总数；真正词根数另在 book.json.statistics 中统计。,books[].book.root_count,词书标称构词元素数
books.csv,purchase_status,string,constant,有行时必填,not_applicable,editorial.books[].purchase_status,原创词书，无上游购买经历,books[].book.purchase_status,购买状态
books.csv,lifecycle_status,string,constant,有行时必填,draft,editorial.books[].lifecycle_status,仅在正式发布流程中改为 published,books[].book.lifecycle_status,发布生命周期状态
books.csv,is_active,boolean,constant,有行时必填,false,editorial.books[].is_active,不替用户切换当前词书,books[].book.is_active,是否当前激活词书
books.csv,currently_available,boolean,constant,有行时必填,false,editorial.books[].currently_available,草稿不能作为已发布词书使用；发布后由实际状态填写,books[].permission.currently_available,当前是否可访问
books.csv,current_period_ends_at,datetime|null,empty,可空,,editorial.books[].current_period_ends_at,上游私有元数据或个人状态不适用，空字符串；不带凭据、隐藏提示或追踪信息。,books[].permission.current_period_ends_at,当前授权周期结束时间
books.csv,final_ends_at,datetime|null,empty,可空,,editorial.books[].final_ends_at,上游私有元数据或个人状态不适用，空字符串；不带凭据、隐藏提示或追踪信息。,books[].permission.final_ends_at,最终授权结束时间
collocations.csv,word_id,string,registry,有行时必填,,editorial.collocations[].word_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,word_details[].word_id,单词 ID
collocations.csv,collocation_id,string,registry,有行时必填,,editorial.collocations[].collocation_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,collocations[].id,搭配 ID
collocations.csv,order_index,integer,computed,有行时必填,,editorial.collocations[].order_index,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,derived,单词内搭配顺序
collocations.csv,phrase,string,original_editorial,有行时必填,,editorial.collocations[].phrase,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,collocations[].phrase,搭配短语
collocations.csv,meaning,string|null,original_editorial,有行时必填,,editorial.collocations[].meaning,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,collocations[].meaning,中文含义
collocations.csv,example,string|null,original_editorial,有行时必填,,editorial.collocations[].example,依据编写规范原创并复核；引用事实记录来源，不从六级复制教学正文。,collocations[].example,搭配例句
exam_examples.csv,word_id,string,registry,有行时必填,,editorial.exam_examples[].word_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,sentence_zone.exam_examples[].parent,单词 ID
exam_examples.csv,exam_example_id,string,registry,有行时必填,,editorial.exam_examples[].exam_example_id,引用稳定 ID 登记表；主键唯一，所有外键可解析，不能跨书混用。,sentence_zone.exam_examples[].id,真题句 ID
exam_examples.csv,order_index,integer,computed,有行时必填,,editorial.exam_examples[].order_index,由实际编辑数据、顺序或子表生成，禁止手写统计。所有 index 从 0 开始；word_order 从 1 开始。,derived,单词内真题句顺序
exam_examples.csv,sentence,string,verified_exam_source,有行时必填,,editorial.exam_examples[].sentence,英文摘录及出处必须可核验；翻译与用法讲解原创。无证据不创建行。,sentence_zone.exam_examples[].sentence,英文真题句
exam_examples.csv,translation,string,verified_exam_source,有行时必填,,editorial.exam_examples[].translation,英文摘录及出处必须可核验；翻译与用法讲解原创。无证据不创建行。,sentence_zone.exam_examples[].translation,中文翻译
exam_examples.csv,matched_surface,string|null,verified_exam_source,有行时必填,,editorial.exam_examples[].matched_surface,英文摘录及出处必须可核验；翻译与用法讲解原创。无证据不创建行。,sentence_zone.exam_examples[].matched_surface,命中的目标词表面形式
exam_examples.csv,target_word_analysis,string|null,verified_exam_source,有行时必填,,editorial.exam_examples[].target_word_analysis,英文摘录及出处必须可核验；翻译与用法讲解原创。无证据不创建行。,sentence_zone.exam_examples[].target_word_analysis,目标词用法分析
exam_examples.csv,exam_context,string|null,verified_exam_source,有行时必填,,editorial.exam_examples[].exam_context,英文摘录及出处必须可核验；翻译与用法讲解原创。无证据不创建行。,sentence_zone.exam_examples[].exam_context,真题上下文说明
exam_examples.csv,difficulty_rationale,string|null,verified_exam_source,有行时必填,,editorial.exam_examples[].difficulty_rationale,英文摘录及出处必须可核验；翻译与用法讲解原创。无证据不创建行。,sentence_zone.exam_examples[].difficulty_rationale,难度说明
exam_examples.csv,source_year,integer|null,verified_exam_source,有行时必填,,editorial.exam_examples[].source_year,有记录时必填，必须由已核验试卷得出。,sentence_zone.exam_examples[].source.year,真题年份
exam_examples.csv,source_paper,string|null,verified_exam_source,有行时必填,,editorial.exam_examples[].source_paper,有记录时必填，包含年份、月份/考次与套卷信息；证据台账另存 URL 和页码。,sentence_zone.exam_examples[].source.paper,试卷名称
exam_examples.csv,source_section,string|null,verified_exam_source,有行时必填,,editorial.exam_examples[].source_section,有记录时必填，注明题型、段落或题号，可回到原文定位。,sentence_zone.exam_examples[].source.section,题型/章节
