spelling	targetSurface	parts	translation	analysis
a	a	adv::Although she already owned a laptop, ||subj::Maya||pred:: bought a notebook so that she could sketch ideas by hand.	虽然玛雅已经有一台笔记本电脑，她还是买了一本笔记本，以便能用手画出想法。	Although 引出让步背景，主句是 Maya bought a notebook；so that 从句解释购买目的。a laptop 与 a notebook 都是不特指的单数可数名词。
abandon	abandon	adv::When the bridge was damaged by the storm, ||subj::the team||pred:: had to abandon the route they had planned for months.	桥梁被暴风雨损坏后，团队不得不放弃筹划了数月的路线。	When 从句说明被迫改道的背景；主干是 the team had to abandon the route。they had planned for months 是省略关系代词的定语从句，修饰 route。
aboard	aboard	adv::Before the doors closed, ||subj::a member of staff||pred:: checked that every passenger was safely aboard.	车门关闭之前，一名工作人员确认每位乘客都已安全上车。	Before 从句给出时间；checked 后的 that 从句是检查内容。aboard 在从句中作表语的一部分，说明乘客已在交通工具内。
abolish	abolish	adv::Although some parents opposed the change, ||subj::the school||pred:: decided to abolish a rule that no longer served a useful purpose.	尽管一些家长反对变动，学校仍决定废除一条已无实际作用的规定。	主干是 the school decided to abolish a rule。that 从句修饰 rule，说明废除原因；Although 引出与最终决定相反的意见。
abolition	abolition	adv::Since the abolition of the entrance fee, ||subj::the museum||pred:: has welcomed more families who had previously found a visit too expensive.	自从取消门票收费，这家博物馆接待了更多原先觉得参观费用过高的家庭。	Since 后面是名词短语，不是从句；主句用现在完成时说明变化持续至今。who 从句修饰 families，had found 表示在变化之前的感受。
about	about	adv::When students are uncertain about the instructions, ||subj::teachers||pred:: should give them time to ask questions before the task begins.	学生对要求不确定时，教师应在任务开始前留出提问时间。	主干是 teachers should give them time。about 接在 uncertain 后，指出不确定的内容；to ask questions 说明 time 的用途。
above	above	adv::Although the price was above our original budget, ||subj::we||pred:: chose the model that would be cheaper to repair.	尽管价格超过原定预算，我们还是选了维修费用更低的那一款。	above 表超过预算这一数额；主句的宾语是 the model，that 从句给出选择它的理由。would be cheaper 描写预计的维修成本。
abroad	abroad	adv::Before she went abroad to study, ||subj::Lina||pred:: had never lived in a place where she could not speak the local language.	出国学习之前，莉娜从未住过不会讲当地语言的地方。	主干用过去完成时 had never lived，指早于 went abroad 的经历；where 从句修饰 place。abroad 前不需要介词 to。
absence	absence	adv::In the absence of reliable data, ||subj::the researchers||pred:: were careful not to claim that the treatment had worked.	缺乏可靠数据时，研究人员谨慎地避免声称该处理方法有效。	句首 in the absence of 是介词短语，说明证据条件；not 放在 to claim 前是否定不定式。that 从句是 claim 的内容。
absent	absent	adv::Because several members were absent from the meeting, ||subj::the committee||pred:: postponed the decision until everyone could take part.	由于几位成员未出席会议，委员会把决定推迟到所有人都能参与时再作出。	Because 引出原因，主干是 the committee postponed the decision。absent from 表示未出席；until 从句给出推迟的时间终点。
absolute	absolute	adv::While the experiment required absolute silence, ||subj::the room||pred:: was close to a road where heavy traffic continued all day.	实验要求绝对安静，房间却临近一条全天都有繁忙车流的道路。	While 在这里表达两种情况的对照，不能只按同时发生来译。where 从句修饰 road；absolute 修饰 silence，强调完全安静。
absorb	absorbed	adv::Although the ground absorbed much of the rain, ||subj::water||pred:: still collected in the streets that lay below the river bank.	尽管土地吸收了大量雨水，低于河岸的街道上仍积起了水。	主干是 water still collected in the streets。absorbed 是 absorb 的过去式；that 从句修饰 streets，说明哪些街道易积水。
absorption	absorption	adv::Because different surfaces vary in their absorption of heat, ||subj::the colour of a roof||pred:: can influence how warm a building becomes.	由于不同表面对热量的吸收有差异，屋顶颜色会影响建筑物变得多热。	Because 从句解释原因；how warm a building becomes 是 influence 的宾语从句。absorption of heat 把吸热动作名词化。
abstract	abstract	adv::Before deciding whether the study was relevant, ||subj::the students||pred:: read its abstract and noted the questions the researchers had asked.	判断研究是否相关之前，学生先读了摘要，并记下研究人员提出的问题。	Before 后接动名词结构，隐含主语是 students。read 与 noted 并列作谓语；the researchers had asked 是省略关系代词的定语从句，修饰 questions。
abundance	abundance	adv::Despite an abundance of online information, ||subj::many learners||pred:: still need help deciding which sources they can trust.	尽管网上信息丰富，许多学习者仍需有人帮助判断哪些来源可信。	Despite 后接名词短语；主干是 many learners still need help。deciding 说明需要帮助的事，which sources 从句是 deciding 的宾语。
abundant	abundant	adv::Although sunlight is abundant in the region, ||subj::households||pred:: cannot benefit from solar power unless suitable equipment is affordable.	虽然该地区阳光充足，如果合适的设备价格无法承受，家庭仍不能从太阳能中受益。	Although 引出有利条件，unless 再给出限制条件；主干是 households cannot benefit。abundant 作表语，描述 sunlight 的充足程度。
abuse	abuse	adv::If companies abuse the information that customers provide, ||subj::those customers||pred:: may become unwilling to share even basic details in the future.	如果企业滥用客户提供的信息，这些客户以后可能连基本资料都不愿分享。	If 从句中，that customers provide 修饰 information；主句是 customers may become unwilling。abuse 的宾语是 information，表示滥用。
abusive	abusive	adv::After several abusive messages appeared on the forum, ||subj::the moderators||pred:: introduced a rule requiring members to discuss ideas without attacking people.	论坛出现几条辱骂性消息后，管理员制定了一条规则，要求成员讨论观点时不得攻击他人。	主干是 the moderators introduced a rule。requiring 短语后置修饰 rule；without attacking people 说明讨论时应避免的行为。abusive 修饰 messages。
academic	academic	adv::Although the book was written for an academic audience, ||subj::its author||pred:: used examples that readers outside the field could understand.	尽管这本书面向学术读者，作者仍采用了领域外的读者也能理解的例子。	was written 是被动语态，for 短语说明受众。that 从句修饰 examples，could understand 的宾语由关系代词 that 承担。
academician	academician	adv::After she was elected an academician, ||subj::the researcher||pred:: continued teaching the introductory course that had first drawn her to education.	当选院士后，这位研究者仍继续教授最初让她对教育产生兴趣的那门入门课程。	was elected an academician 表当选某身份。主干是 the researcher continued teaching the course；that 从句修饰 course，had drawn 说明更早的经历。
academy	academy	adv::Although the academy had limited funds, ||subj::it||pred:: offered evening classes to adults who could not study during the day.	虽然这所学校经费有限，它仍向白天无法上课的成人提供夜间课程。	it 指 academy；主干是 it offered evening classes。who 从句修饰 adults，说明服务对象。academy 在这里指教学机构。
accelerate	accelerate	adv::If the new system allows people to share results quickly, ||subj::it||pred:: may accelerate research without requiring a larger team.	如果新系统让人们迅速共享结果，它可能在不扩大团队的情况下加快研究进展。	If 从句中 allows 后接 people to share，构成复合宾语；主句 it 指 new system。without requiring 表示未增加的条件。
acceleration	acceleration	adv::Because the passengers were standing, ||subj::the bus's sudden acceleration||pred:: caused several of them to lose their balance.	由于乘客站着，公交车突然加速使其中几人失去了平衡。	主语是完整的名词短语 the bus's sudden acceleration，谓语是 caused。cause sb. to do 表示使某人发生某动作；them 指 passengers。
accent	accent	adv::Although his accent was unfamiliar to the listeners, ||subj::he||pred:: spoke slowly enough for everyone to follow the main points.	虽然听众不熟悉他的口音，他讲得足够慢，大家都能跟上要点。	主干是 he spoke slowly enough；enough 后的 for everyone to follow 说明达到的程度。unfamiliar to 指听众感到陌生。
accept	accept	adv::Before you accept an offer of employment, ||subj::you||pred:: should check whether the working hours are clearly stated in the contract.	接受录用之前，你应检查合同是否明确写出了工作时间。	whether 从句是 check 的宾语，内部 are stated 是被动语态。accept an offer 表示同意接受，区别于仅仅收到。
acceptable	acceptable	adv::Although both sides wanted an agreement, ||subj::they||pred:: struggled to find a solution that was acceptable to everyone affected.	虽然双方都希望达成协议，他们却很难找到一个所有受影响者都能接受的解决办法。	that 从句修饰 solution；affected 是过去分词，后置修饰 everyone。acceptable to 指对哪些人而言可以接受。
acceptance	acceptance	adv::As the evidence became stronger, ||subj::the idea||pred:: gained wider acceptance among scientists who had initially questioned it.	随着证据越来越有力，这一观点在最初质疑它的科学家中获得了更广泛的认可。	As 表示随之变化；主干是 the idea gained wider acceptance。who 从句修饰 scientists，it 指 the idea。
access	access	adv::Unless students have access to a reliable internet connection, ||subj::courses that depend entirely on video calls||pred:: may exclude some of the people they are intended to help.	如果学生无法使用稳定的网络，完全依赖视频通话的课程可能会把部分原本要帮助的人排除在外。	主语是 courses，that 从句修饰它；they are intended to help 修饰 people，they 指 courses。have access to 指能够使用。
