word_id,long_sentence_id,section_index,section_kind,item_index,dimension,keyword,refs_json,analysis_text,examples_json
cet4-w-dcc6b6de5d3f3f80ff02,cet4-w-dcc6b6de5d3f3f80ff02:long:001,0,structure,0,主干,Although 与并列谓语,"[0,1,2]",Although 引导让步背景；主句主语是 the guard，acted 与 led 是两个并列谓语。,
cet4-w-dcc6b6de5d3f3f80ff02,cet4-w-dcc6b6de5d3f3f80ff02:long:001,1,target,0,目标词,acted at once,[2],act 在这里不是“表演”，而是面对警报立即采取行动；at once 强化紧迫性。,
cet4-w-b4e76965b5a7943279ac,cet4-w-b4e76965b5a7943279ac:long:001,0,structure,0,因果,Because,"[0,1,2]",Because 从句交代委员会提出要求的原因，主句核心是 the committee demanded action。,
cet4-w-b4e76965b5a7943279ac,cet4-w-b4e76965b5a7943279ac:long:001,1,target,0,搭配,immediate action,[2],action 是不可数的行动概念；immediate 说明行动不能拖延，后面的不定式说明目的。,
cet4-w-560e8b954a1a6e8c9768,cet4-w-560e8b954a1a6e8c9768:long:001,0,structure,0,双层定语,who 与 that,"[0,1,2]",who 从句修饰 Students；that 从句嵌在宾语 skills 后，说明这些能力的性质。,
cet4-w-560e8b954a1a6e8c9768,cet4-w-560e8b954a1a6e8c9768:long:001,1,target,0,表语,stay active,[1],stay 是系动词，active 作表语，表示持续处于积极参与的状态。,
cet4-w-4ced4a567905ee623d9d,cet4-w-4ced4a567905ee623d9d:long:001,0,structure,0,让步与指代,While ... it,"[0,1,2]",While 表示让步；主句 it 回指 online activity，主句说明其另一面影响。,
cet4-w-4ced4a567905ee623d9d,cet4-w-4ced4a567905ee623d9d:long:001,1,target,0,名词修饰,online activity,[0],online 限定 activity 的范围，指在线上的活动或行为，而不是“活跃程度”。,
cet4-w-45384c5a5727e65aeb71,cet4-w-45384c5a5727e65aeb71:long:001,0,structure,0,让步,Although,"[0,1,2]",从句中的小角色与主句产生的强烈效果形成让步对照。,
cet4-w-45384c5a5727e65aeb71,cet4-w-45384c5a5727e65aeb71:long:001,1,target,0,人物名词,the actor,[0],actor 明确指演员；role 和 performance 提供了表演语境。,
cet4-w-25dfe87120b7c0b3f123,cet4-w-25dfe87120b7c0b3f123:long:001,0,structure,0,时间层次,When 与 before,"[0,1,2]",When 从句设置情形，before doing 规定主句动作的先后顺序。,
cet4-w-25dfe87120b7c0b3f123,cet4-w-25dfe87120b7c0b3f123:long:001,1,target,0,介词搭配,react negatively to,[0],react to 指对某事作出反应；negatively 说明反应是负面的。,
cet4-w-4336a9e7fc5d08328b8e,cet4-w-4336a9e7fc5d08328b8e:long:001,0,structure,0,方式与定语,By doing 与 that,"[0,1,2]",By doing 说明实现能力提升的方法；that 从句限定 claims。,
cet4-w-4336a9e7fc5d08328b8e,cet4-w-4336a9e7fc5d08328b8e:long:001,1,target,0,比较结构,better able to,[1],better 修饰 able，表示与原先相比更有能力做某事。,
cet4-w-798668299e6f528c3725,cet4-w-798668299e6f528c3725:long:001,0,structure,0,比较主干,matters more than,"[0,1,2]",主干比较 ability 与 the number；that 从句只修饰 facts。,
cet4-w-798668299e6f528c3725,cet4-w-798668299e6f528c3725:long:001,1,target,0,后置不定式,ability to question,[0],to question 具体说明是哪一种能力，question 在这里作动词“质疑”。,
cet4-w-c87b5d351d670ef64440,cet4-w-c87b5d351d670ef64440:long:001,0,structure,0,条件与宾语从句,If 与 whether,"[0,1,2]",If 从句给出条件；whether 从句是 judge 的宾语，表达判断内容。,
cet4-w-c87b5d351d670ef64440,cet4-w-c87b5d351d670ef64440:long:001,1,target,0,复合结构,enable citizens to judge,[2],enable 后先接受益者 citizens，再接不定式说明他们因此能做什么。,
cet4-w-f41aa887a6195a11b2ae,cet4-w-f41aa887a6195a11b2ae:long:001,0,structure,0,宾语从句,check whether,"[1,2]",whether 引导 check 的宾语从句；that 从句继续修饰 protections。,
cet4-w-f41aa887a6195a11b2ae,cet4-w-f41aa887a6195a11b2ae:long:001,1,target,0,技术义,disable protections,[2],disable 表示让防护功能停止工作，比 delete 更强调功能被关闭。,
cet4-w-8bcbba84a7d7eab25b03,cet4-w-8bcbba84a7d7eab25b03:long:001,0,structure,0,让步与被动,Although 与 be reached,"[0,1,2]",Although 引出已有改善，主句用被动语态指出仍然存在的通行问题。,
cet4-w-8bcbba84a7d7eab25b03,cet4-w-8bcbba84a7d7eab25b03:long:001,1,target,0,固定搭配,disabled access,[0],disabled access 在公共设施语境中指供残障人士使用的通行条件，不表示通道本身坏了。,
cet4-w-43ac0394e915760d27a8,cet4-w-43ac0394e915760d27a8:long:001,0,structure,0,比较从句,more ... than,[0],When 从句内部用 more ... than 比较进口量与本国产量，it 指 a country。,
cet4-w-43ac0394e915760d27a8,cet4-w-43ac0394e915760d27a8:long:001,1,target,0,贸易义,imports energy,[0],import 后直接接被运入本国的商品或资源；from 可在需要时补充来源。,
cet4-w-8c8d138547024805cf9e,cet4-w-8c8d138547024805cf9e:long:001,0,structure,0,定语与方式,that 与 without doing,"[0,1,2]",that 从句限定 firms；without opening 表示实现主句结果时不需要采取的做法。,
cet4-w-8c8d138547024805cf9e,cet4-w-8c8d138547024805cf9e:long:001,1,target,0,及物用法,export their products,[1],export 在这里是及物动词，直接接受出口对象 products。,
cet4-w-d3fb2c3206cf3fc68ee3,cet4-w-d3fb2c3206cf3fc68ee3:long:001,0,structure,0,插入定语,which,"[0,1,2]",去掉逗号中的 which 从句，主干仍是 The report challenged several claims。,
cet4-w-d3fb2c3206cf3fc68ee3,cet4-w-d3fb2c3206cf3fc68ee3:long:001,1,target,0,文件义,The report,[0],冠词 the 和后续研究依据表明 report 是一份具体报告，不是“传闻”。,
cet4-w-f51c719af127ab336448,cet4-w-f51c719af127ab336448:long:001,0,structure,0,变化关系,As ... becomes,"[0,1,2]",As 表示两种变化同步发生；who 从句限定哪些 workers。,
cet4-w-f51c719af127ab336448,cet4-w-f51c719af127ab336448:long:001,1,target,0,不可数名词,public transport,[1],transport 在 public transport 中表示交通运输系统，通常按不可数概念使用。,
cet4-w-385010cccc39746e3da1,cet4-w-385010cccc39746e3da1:long:001,0,structure,0,从句嵌套,suggests that ... when,"[0,1,2]",that 从句是 suggests 的内容；when 从句说明员工更愿分享想法的条件。,
cet4-w-385010cccc39746e3da1,cet4-w-385010cccc39746e3da1:long:001,1,target,0,及物动词,support experiments,[2],support 直接接 experiments，表示认可并提供条件，而不是物理支撑。,
cet4-w-88452520399cf5c4e49e,cet4-w-88452520399cf5c4e49e:long:001,0,structure,0,目的与时序,Before 与 to ensure,"[0,1,2]",Before 说明检查发生的时间；to ensure 说明检查的目的，that 从句是 ensure 的内容。,
cet4-w-88452520399cf5c4e49e,cet4-w-88452520399cf5c4e49e:long:001,1,target,0,正式检查,inspected every classroom,[1],inspect 强调系统、仔细地查看是否存在安全问题，比 look at 更正式。,
cet4-w-9cba42e078093d550bf2,cet4-w-9cba42e078093d550bf2:long:001,0,structure,0,only when,only when,"[0,1,2]",only 限定 when 从句提出的条件；从句内 respect、listen、admit 三个动词并列。,
cet4-w-9cba42e078093d550bf2,cet4-w-9cba42e078093d550bf2:long:001,1,target,0,抽象宾语,respect evidence,[2],respect 的宾语是 evidence，表示认真对待证据，而非对人表达敬意。,
cet4-w-7b27c3e81299f870cb00,cet4-w-7b27c3e81299f870cb00:long:001,0,structure,0,让步与时间,Although 与 not ... until,"[0,1,2]",Although 对比预测与实际感受；not ... until 表示直到某个条件出现才发生。,
cet4-w-7b27c3e81299f870cb00,cet4-w-7b27c3e81299f870cb00:long:001,1,target,0,复合宾语,expect prices to fall,[0],prices 是 expect 的宾语，to fall 说明预计价格将发生的变化。,
cet4-w-f262db840d22de476630,cet4-w-f262db840d22de476630:long:001,0,structure,0,分词修饰,graduates entering,"[0,1,2]",entering 短语后置修饰 graduates；主句核心是 prospect can seem ...。,
cet4-w-f262db840d22de476630,cet4-w-f262db840d22de476630:long:001,1,target,0,of 结构,the prospect of,[1],of repeated retraining 说明具体是哪种可能前景；prospect 在这里不是眼前景色。,
cet4-w-196eea6931afa61926c6,cet4-w-196eea6931afa61926c6:long:001,0,structure,0,因果与比较,Because 与 more ... than,"[0,1,2]",Because 从句解释费用差异的原因；主句用 more ... than 比较两类花费。,
cet4-w-196eea6931afa61926c6,cet4-w-196eea6931afa61926c6:long:001,1,target,0,复合词,the airport,[0],airport 在原因从句中是主语，lies 表示它所处的位置。,
cet4-w-50a30d1bad42f8113242,cet4-w-50a30d1bad42f8113242:long:001,0,structure,0,同时发生,While,"[0,1,2]",While 从句与主句描述两个同时进行的动作；主句 it 回指 timeline。,
cet4-w-50a30d1bad42f8113242,cet4-w-50a30d1bad42f8113242:long:001,1,target,0,介词位置,on the blackboard,[0],把黑板视为书写表面时用介词 on。,
cet4-w-aef3be74ca48b7eb3d7b,cet4-w-aef3be74ca48b7eb3d7b:long:001,0,structure,0,介词前置,in which,"[0,1,2]",in which 相当于 where，定语从句修饰 classroom；主句谓语是 creates。,
cet4-w-aef3be74ca48b7eb3d7b,cet4-w-aef3be74ca48b7eb3d7b:long:001,1,target,0,抽象延伸,A classroom,[0],这里的 classroom 不只是一间房，也包含学生能否安心提问的课堂环境。,
cet4-w-ef0a124f24fcdea9f25a,cet4-w-ef0a124f24fcdea9f25a:long:001,0,structure,0,让步与指代,Although ... it,"[0,1,2]",Although 对比数字发行与纸质发行；it 回指 newspaper，who 从句修饰 people。,
cet4-w-ef0a124f24fcdea9f25a,cet4-w-ef0a124f24fcdea9f25a:long:001,1,target,0,机构转喻,the newspaper,[0],能 reach readers、prints an edition 的是报社机构，因此 newspaper 在此兼有机构义。,
cet4-w-da4d2d00a9e5fb8106e9,cet4-w-da4d2d00a9e5fb8106e9:long:001,0,structure,0,插入定语,who,"[0,1,2]",逗号中的 who 从句补充科学家的背景；主干是 The scientist used the award。,
cet4-w-da4d2d00a9e5fb8106e9,cet4-w-da4d2d00a9e5fb8106e9:long:001,1,target,0,原因搭配,well-known for,[1],for 引出她出名的原因 climate research。,
cet4-w-ddf68ca6cd54aa5da878,cet4-w-ddf68ca6cd54aa5da878:long:001,0,structure,0,原因与宾语从句,Because 与 how,"[0,1,2]",Because 从句给出设计测试的原因；how 从句是 influence 的影响内容。,
