spelling	gloss0	gloss1	gloss2
actress	这位女演员读完该剧所依据的书信后	她	改变了塑造主角的方式
actual	虽然估价看起来合理	维修屋顶的实际费用	却高得多，因为发现了隐藏的损坏
actually	团队仔细研究人们实际如何使用这个应用后	他们	发现一项原本被视为必需的功能很少有人打开
acute	由于村子严重缺乏教师	一些孩子	不得不去一所路程超过一小时的学校上学
ad	回应承诺异常高薪的广告之前	申请人	应核实是否能通过独立渠道确认雇主的身份
adapt	虽然设备原本为室内使用而设计	团队	仍设法使它适应了室外遇到的条件
adaptation	小说通过私人书信讲述故事	电影改编版	则依靠对话间接展现人物的想法
adaptive	由于系统采用自适应控制	它	能应对变化的条件，无须操作人员重新设定每个数值
add	如果汤尝起来太咸	你	可以先多加点水，再决定是否需要继续调味
addict	虽然他只是开玩笑地自称咖啡迷	他	开始怀疑这个习惯是否影响了睡眠
addiction	难以获得针对成瘾问题的支持时	想求助的人	可能很难找到负担得起的服务
addictive	虽然这个应用被宣传为放松工具	一些用户	却觉得接连不断的短视频如此让人停不下来，以至于一看就是几个小时
addition	除了提供免费餐食	这个中心	还提供一处安静空间，供人们咨询住房问题
additional	由于初步结果不确定	研究人员	又采集了一些样本，再判断观察到的规律是否有意义
address	如果政策无法处理人们不愿乘坐公共交通的原因	仅降低票价	可能收效甚微
adequacy	游客人数大幅增加后	地方议会	审查了原本按小得多的人口规模设计的设施是否够用
adequate	虽然房间不大	它	仍为需要安静学习地点的学生提供了足够空间
adequately	如果系统启用前工作人员未得到充分培训	他们	可能会犯下一些本可通过更充分准备避免的错误
adjective	形容词出现在系动词之后时	它	虽然没有直接位于名词前，仍然是在描述主语
adjust	随着外界光线变化	摄影师	不得不调整相机设置，以保持照片清晰
adjustment	虽然机器看起来坏了	对皮带的一处小调整	就足以让它重新运转
administer	志愿者获准实施测试之前	他们	接受了如何说明要求而不影响答案的培训
administrate	因为几个学院共同使用这笔资金	一个统筹办公室	得以设立，负责管理这项计划并保持选拔流程一致
administration	虽然大多数学生很少见到行政部门的工作人员	学生每天的安排	却依赖这些办公室作出的决定
administrative	通过减少教师必须填写的表格数量	学校	希望减轻行政工作，同时保留有用的信息
admirable	虽然尝试没有成功	团队愿意分享所学所得的态度	仍值得钦佩
admiration	看到护士多么耐心地倾听后	学生们	对这一教科书中几乎未作讨论的能力表达了钦佩
admire	人们常常钦佩看得见的成就	让这些成就成为可能的默默付出	却可能鲜少受到关注
admission	虽然博物馆免收门票	各个家庭	仍需考虑往返交通和请假一天的成本
admit	当证据已不容忽视时	公司	不得不承认先前的解释并不完整
admittance	由于设备容易损坏	实验室	仅准许完成规定培训的人进入
admittedly	诚然	这项计划	实施起来会更久，但它能让居民有更多时间为变化做准备
microwavable	虽然食物已经可以加热	她	仍把它转移到一个适用于微波炉的盘子里，因为原包装不合适
oughtto	如果希望所有人准时到达	我们	就应该说明入口在哪里，而不是只发一个地址
résumé	提交简历之前	她	请朋友核查所列经历是否与职位相关
