word_id,spelling,source_roles,ecdict_cet4_tag,cet6_word_id,cet6_spelling,match_method,reuse_status,reason
cet4-w-22115abbb1dbe5b95403,a,headword,false,,,none,new_content_required,无六级同词；后续查找有证据的词族关系。
cet4-w-bacdccd06e173fd821b1,abandon,headword,true,7b6a2661-7176-4815-bf66-cf76e87f43aa,abandon,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-798668299e6f528c3725,ability,listed_related,true,06e8440a-380f-4f9f-8c12-277742898a1b,ability,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-4336a9e7fc5d08328b8e,able,headword,false,80a8386c-c36f-4e63-8296-cca67958693e,able,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-9d84219b0f257903f894,aboard,headword,true,,,none,new_content_required,无六级同词；后续查找有证据的词族关系。
cet4-w-b888b06eecfb1127e3bb,abolish,headword,false,9ffca7ac-a778-40e0-9494-7b93c0c90d8a,abolish,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-74ca0e6dddfece3e09eb,abolition,listed_related,false,8f8136fa-df90-4a3a-beb6-33759ea3e48d,abolition,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-10ad00b3ccf681d53631,about,headword,false,,,none,new_content_required,无六级同词；后续查找有证据的词族关系。
cet4-w-90aa713e8ba73eb8b681,above,headword,false,2a32292e-7159-4fb2-ad18-26536456ef09,above,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-901037a8628671fdfc19,abroad,headword,false,,,none,new_content_required,无六级同词；后续查找有证据的词族关系。
cet4-w-16cc55aac24767aa14bb,absence,listed_related,true,247d2f68-8f2a-4d53-ae1d-f70577bb87ee,absence,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-58351a181b08549dad1a,absent,headword,true,79f63d3a-77f3-4287-b62f-44e743b22bee,absent,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-728ab43dd091b054e608,absolute,headword,true,d2dbe77d-c518-4910-9651-fcb5d8c50d7a,absolute,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-4c1c8e3c067f577174b4,absorb,headword,true,4f55739e-89d4-4483-bf09-caaf8217debe,absorb,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-a04d74b471996c660373,absorption,listed_related,false,fd36380f-e5c1-4f27-b2f9-6cab8c594bc4,absorption,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-056469f90b3da87387a9,abstract,headword,true,7bd101f6-2bfe-4fc9-a335-23dd73fb7429,abstract,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-6637e09f7003f326c224,abundance,listed_related,false,11009ac9-de08-486b-907a-ea9ac3d0396f,abundance,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-ff701617e9aaa921796f,abundant,headword,true,c636bdbc-9171-4934-84cf-ba85914208e2,abundant,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-b64c7215f2b60d098f09,abuse,headword,true,1e1d9025-b807-4504-ab30-deca4f5c6104,abuse,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-99b2e6fe3c2fe7bae70f,abusive,listed_related,false,0a33b684-8f07-4879-8a4c-e1063a57aa50,abusive,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-adc37503995395872304,academic,listed_related,true,945877c0-c2a2-4071-81c1-454c3a957338,academic,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-22dd7b5151742e07ab2b,academician,listed_related,false,,,none,new_content_required,无六级同词；后续查找有证据的词族关系。
cet4-w-552641985e4cd047e28b,academy,headword,true,,,none,new_content_required,无六级同词；后续查找有证据的词族关系。
cet4-w-ea78159e6b442c05331c,accelerate,headword,true,490b04a9-d441-4938-9f88-20cc0e9c84b4,accelerate,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
cet4-w-05e383312cbf7488687e,acceleration,listed_related,true,fb95f5e3-a498-4484-82b2-14c36bbb41ce,acceleration,exact,pending_content_review,同词命中仅建立审核入口；不自动复制释义、拆词或巧记。
