spelling,tags,target_word_ids,decision,reason,translation_reference,inflections_reference,source_id
abandon,gk cet4 cet6 ky toefl gre,"[""cet4-w-bacdccd06e173fd821b1""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热",d:abandoned/p:abandoned/i:abandoning/3:abandons,ecdict-bc015ed2e24a
ability,zk gk cet4 ky toefl ielts,"[""cet4-w-798668299e6f528c3725""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 能力, 才干
[经] 能力, 才能",s:abilities,ecdict-bc015ed2e24a
abnormal,gk cet4 cet6 ky toefl ielts,[],outside_selected_syllabus,ECDICT 标签仅作候选；所选考纲四级范围无对应词形，不自动加入。,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人",s:abnormals,ecdict-bc015ed2e24a
aboard,gk cet4 ky toefl,"[""cet4-w-9d84219b0f257903f894""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上",,ecdict-bc015ed2e24a
absence,gk cet4 cet6 ky toefl,"[""cet4-w-16cc55aac24767aa14bb""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 缺席, 缺乏, 没有
[医] 失神",s:absences,ecdict-bc015ed2e24a
absent,zk gk cet4 cet6 ky toefl,"[""cet4-w-58351a181b08549dad1a""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席",p:absented/i:absenting/d:absented/3:absents,ecdict-bc015ed2e24a
absolute,gk cet4 cet6 ky toefl gre,"[""cet4-w-728ab43dd091b054e608""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物",s:absolutes,ecdict-bc015ed2e24a
absolutely,cet4 toefl,[],outside_selected_syllabus,ECDICT 标签仅作候选；所选考纲四级范围无对应词形，不自动加入。,"adv. 完全地, 绝对地, 确确实实地",,ecdict-bc015ed2e24a
absorb,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-4c1c8e3c067f577174b4""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
[医] 吸收",d:absorbed/p:absorbed/3:absorbs/i:absorbing,ecdict-bc015ed2e24a
abstract,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-056469f90b3da87387a9""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
[计] 摘录; 摘要; 抽象",s:abstracts/d:abstracted/i:abstracting/3:abstracts/p:abstracted,ecdict-bc015ed2e24a
abundant,gk cet4 ky toefl gre,"[""cet4-w-ff701617e9aaa921796f""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 丰富的, 充分的, 大量的",,ecdict-bc015ed2e24a
abuse,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-b64c7215f2b60d098f09""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待",d:abused/s:abuses/i:abusing/3:abuses/p:abused,ecdict-bc015ed2e24a
academic,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-adc37503995395872304""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员",s:academics,ecdict-bc015ed2e24a
academy,gk cet4 cet6 ky toefl,"[""cet4-w-552641985e4cd047e28b""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 学院, 院校, 学会",s:academies,ecdict-bc015ed2e24a
