word_id,collocation_id,order_index,phrase,meaning,example
cet4-w-dcc6b6de5d3f3f80ff02,cet4-w-dcc6b6de5d3f3f80ff02:collocation:001,0,act on advice,听取建议并采取行动,The team acted on the engineer's advice immediately.
cet4-w-b4e76965b5a7943279ac,cet4-w-b4e76965b5a7943279ac:collocation:001,0,take action,采取行动,Local residents took action to protect the wetland.
cet4-w-560e8b954a1a6e8c9768,cet4-w-560e8b954a1a6e8c9768:collocation:001,0,play an active role,发挥积极作用,Young volunteers played an active role in the survey.
cet4-w-4ced4a567905ee623d9d,cet4-w-4ced4a567905ee623d9d:collocation:001,0,physical activity,体育活动；身体活动,Regular physical activity can improve sleep.
cet4-w-45384c5a5727e65aeb71,cet4-w-45384c5a5727e65aeb71:collocation:001,0,a leading actor,主演；主要演员,The leading actor answered questions after the film.
cet4-w-25dfe87120b7c0b3f123,cet4-w-25dfe87120b7c0b3f123:collocation:001,0,react to pressure,应对压力；对压力作出反应,Some people react to pressure by working faster.
cet4-w-4336a9e7fc5d08328b8e,cet4-w-4336a9e7fc5d08328b8e:collocation:001,0,be able to do something,能够做某事,You will be able to download the file after signing in.
cet4-w-798668299e6f528c3725,cet4-w-798668299e6f528c3725:collocation:001,0,the ability to learn,学习能力,Curiosity strengthens a child's ability to learn.
cet4-w-c87b5d351d670ef64440,cet4-w-c87b5d351d670ef64440:collocation:001,0,enable access to,使能够访问；使可以使用,The card enables access to the laboratory.
cet4-w-f41aa887a6195a11b2ae,cet4-w-f41aa887a6195a11b2ae:collocation:001,0,disable a feature,禁用一项功能,The administrator disabled the sharing feature.
cet4-w-8bcbba84a7d7eab25b03,cet4-w-8bcbba84a7d7eab25b03:collocation:001,0,disabled access,无障碍通道；残障人士通行设施,The museum improved disabled access at its main entrance.
cet4-w-43ac0394e915760d27a8,cet4-w-43ac0394e915760d27a8:collocation:001,0,import goods from,从……进口商品,The shop imports handmade goods from Peru.
cet4-w-8c8d138547024805cf9e,cet4-w-8c8d138547024805cf9e:collocation:001,0,export products to,向……出口产品,The factory exports medical products to Europe.
cet4-w-d3fb2c3206cf3fc68ee3,cet4-w-d3fb2c3206cf3fc68ee3:collocation:001,0,publish a report on,发布关于……的报告,The university published a report on student housing.
cet4-w-f51c719af127ab336448,cet4-w-f51c719af127ab336448:collocation:001,0,public transport,公共交通,Reliable public transport reduces traffic in the city centre.
cet4-w-385010cccc39746e3da1,cet4-w-385010cccc39746e3da1:collocation:001,0,provide support for,为……提供支持,The programme provides support for first-year students.
cet4-w-88452520399cf5c4e49e,cet4-w-88452520399cf5c4e49e:collocation:001,0,inspect equipment,检查设备,Technicians inspect the equipment every month.
cet4-w-9cba42e078093d550bf2,cet4-w-9cba42e078093d550bf2:collocation:001,0,show respect for,对……表示尊重,Visitors should show respect for local customs.
cet4-w-7b27c3e81299f870cb00,cet4-w-7b27c3e81299f870cb00:collocation:001,0,expect somebody to do something,预料或要求某人做某事,The coach expects every player to arrive on time.
cet4-w-f262db840d22de476630,cet4-w-f262db840d22de476630:collocation:001,0,career prospects,职业前景,The course improved his career prospects.
cet4-w-196eea6931afa61926c6,cet4-w-196eea6931afa61926c6:collocation:001,0,international airport,国际机场,The new railway ends beside the international airport.
cet4-w-50a30d1bad42f8113242,cet4-w-50a30d1bad42f8113242:collocation:001,0,write on the blackboard,在黑板上写,Please write the final answer on the blackboard.
cet4-w-aef3be74ca48b7eb3d7b,cet4-w-aef3be74ca48b7eb3d7b:collocation:001,0,classroom discussion,课堂讨论,The article led to a lively classroom discussion.
cet4-w-ef0a124f24fcdea9f25a,cet4-w-ef0a124f24fcdea9f25a:collocation:001,0,a local newspaper,地方报纸,A local newspaper first reported the discovery.
cet4-w-da4d2d00a9e5fb8106e9,cet4-w-da4d2d00a9e5fb8106e9:collocation:001,0,be well-known for,因……而闻名,The region is well-known for its tea.
cet4-w-ddf68ca6cd54aa5da878,cet4-w-ddf68ca6cd54aa5da878:collocation:001,0,bright color,鲜艳的颜色,A bright color can draw attention to the sign.
cet4-w-d84a36499767c2a3d0e3,cet4-w-d84a36499767c2a3d0e3:collocation:001,0,a young child,年幼的孩子,A young child may ask the same question many times.
cet4-w-eb44a3c9cc92e7b5e517,cet4-w-eb44a3c9cc92e7b5e517:collocation:001,0,manufacture goods,制造商品,The company manufactures goods from recycled metal.
cet4-w-7050d50383e85d57962a,cet4-w-7050d50383e85d57962a:collocation:001,0,modern agriculture,现代农业,Modern agriculture depends on both science and local knowledge.
cet4-w-593fc9aa437f4a7f8a46,cet4-w-593fc9aa437f4a7f8a46:collocation:001,0,according to the report,根据报告,"According to the report, air quality improved last year."
