evidence_id,subject_type,subject_id,field_group,source_id,locator,url,claim,origin,review_status,reviewed_at
ev-lex-act,word,cet4-w-dcc6b6de5d3f3f80ff02,base,cambridge-act,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/act,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-action,word,cet4-w-b4e76965b5a7943279ac,base,cambridge-action,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/action,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-active,word,cet4-w-560e8b954a1a6e8c9768,base,cambridge-active,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/active,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-activity,word,cet4-w-4ced4a567905ee623d9d,base,cambridge-activity,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/activity,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-actor,word,cet4-w-45384c5a5727e65aeb71,base,cambridge-actor,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/actor,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-react,word,cet4-w-25dfe87120b7c0b3f123,base,cambridge-react,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/react,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-able,word,cet4-w-4336a9e7fc5d08328b8e,base,cambridge-able,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/able,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-ability,word,cet4-w-798668299e6f528c3725,base,cambridge-ability,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/ability,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-enable,word,cet4-w-c87b5d351d670ef64440,base,cambridge-enable,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/enable,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
ev-lex-disable,word,cet4-w-f41aa887a6195a11b2ae,base,cambridge-disable,headword pronunciation and senses,https://dictionary.cambridge.org/dictionary/english/disable,核对英式音标、词性和常用义项；中文释义为本项目原创归纳。,dictionary_reference,reviewed,2026-09-04
