word_id,exam_example_id,order_index,sentence,translation,matched_surface,target_word_analysis,exam_context,difficulty_rationale,source_year,source_paper,source_section,source_exam_type
597eb4d1-348d-47dc-9bb7-dfcf1712cfa1,395ca1e4-2137-4425-9352-05b36d983a9f,1,"A New York City-based nonprofit called Bridge to Enter Mathematics runs a residential summer program aimed at getting underserved students, mostly black and Hispanic, working toward math and science careers.",一个名为“进入数学之桥”的纽约非营利组织运营着一个暑期住宿项目，旨在帮助那些服务不足的学生（主要是黑人和西班牙裔）朝着数学和科学职业发展。,enter,本句中“enter”作为动词，出现在非营利组织名称“Bridge to Enter Mathematics”中，意为“进入”，表示该组织旨在帮助学生进入数学领域。,该句出自2017年6月六级真题（第2套）长篇阅读，描述一个非营利组织的目标，属于社会类话题。,句子长度适中（30词），包含非谓语结构和同位语，但整体结构清晰，符合真题级例句难度。,2017,2017年6月六级真题(第2套),long_reading,cet6
dad251fe-fa3a-420a-9a47-02bb73c9083d,ec2a2599-5c3a-4748-b3e8-34bbad0e1513,1,"Part of this is because women take on more of the unpaid labor at home, which can eat into time available for work and energy for career advancement.",部分原因在于女性承担了更多无报酬的家务劳动，这会侵蚀可用于工作的时间和用于职业发展的精力。,eat,本句中eat为动词，与介词into搭配构成短语动词eat into，意为“消耗、侵蚀”，后接宾语time和energy，表示逐渐减少或占用资源。,该句出自2025年6月六级真题第3套仔细阅读，属于社会现象分析类语境，讨论性别分工对女性职业发展的影响。,句子长度28词，结构清晰，包含定语从句和并列宾语，难度适中，符合真题级例句标准。,2025,2025年6月六级真题(第3套),careful_reading,cet6
bb579196-8b02-4b50-b1bb-e12b8dd632cc,a9e13151-059e-4a3a-9a8d-d0404bedc943,1,Participants in the study were separated into two groups-one group was asked to eat 30 grams of protein per meal in the form of whole foods.,研究中的参与者被分成两组——其中一组被要求每餐摄入30克蛋白质，且以天然食物形式摄入。,meal,在本句中，meal 为可数名词，意为“一餐、膳食”，与介词 per 搭配构成 per meal（每餐），表示每餐的蛋白质摄入量。,该句出自2019年12月六级真题（第2套）长篇阅读，属于健康饮食或营养学研究类语境，考查对实验分组和饮食干预措施的理解。,句子长度适中（26词），包含破折号分隔的补充说明，但结构清晰，无复杂从句，属于真题中中等难度的句子，适合作为真题级例句。,2019,2019年12月六级真题(第2套),long_reading,cet6
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,17574801-87ac-44e8-bb8e-f3132662c0d9,1,"There will probably be months of legal tussling, and it is not at all clear which side will prevail in court, nor in the battle for public opinion and legislative favor.",可能会有长达数月的法律争斗，而且目前完全不清楚哪一方将在法庭上获胜，也不清楚哪一方将在争取公众舆论和立法支持的斗争中获胜。,court,在本句中，'court' 作为名词，意为“法庭，法院”，与介词 'in' 搭配构成 'in court'，表示“在法庭上”。该词在此处指法律诉讼的场所，是法律语境中的核心词汇。,该句出自2017年12月六级真题（第3套）长篇阅读，属于法律与公共舆论交织的论述性文本，考查考生对法律程序及多方博弈的理解。,"句子长度31词，属于中等偏长句，包含并列结构（'nor'）和抽象名词（'legal tussling', 'legislative favor'），符合六级真题阅读的典型难度，但未涉及复杂从句，适合作为真题级例句。",2017,2017年12月六级真题(第3套),long_reading,cet6
23228a76-0482-4b5a-a9c0-4084908853cd,04088527-2594-435d-bbf0-534d9d40357f,1,"You say hello, you small-talk if you see them in the yard, you discuss problems as they arise and you help each other in an emergency.",你打招呼，如果你在院子里看到他们，你会闲聊，问题出现时讨论，紧急情况下互相帮助。,yard,yard 在句中作名词，意为“院子”，是 sense_text 的核心含义。,本句来源于用户本地CET6真题汇总中标记为2015年06月大学英语6级答案解析（卷三）的英语试卷语料；本轮已完成真题来源、目标词命中和核心含义审核，用于呈现目标词在真实考试文本中的用法。,句子长度适中，包含多个并列动作，难度介于普通例句和长难句之间，适合训练。,2015,2015年06月大学英语6级答案解析（卷三）,local_archive_fullpaper,cet6
818f57a1-405d-4a86-82d2-b4f8fe024843,430d25a5-ef2e-4a9c-aac9-1211cd78dd9e,1,"The ancient courtyard, shaded by towering trees, served as a quiet retreat for the scholars.",这个被参天大树遮蔽的古老庭院，成了学者们安静的休憩之所。,,courtyard 在本句中作主语，意为“庭院，院子”，指建筑物围成的露天空间，常与描述性短语搭配，如“shaded by towering trees”，体现其环境特征。,真题风格生成句，类似CET6阅读理解中描述建筑或文化场景的句子，可能出现在说明文或记叙文中。,句子长度适中（16词），包含定语从句和介词短语，符合CET6阅读句子难度，但未刻意复杂化。,,,,cet6
d669f094-000d-4b69-b62c-882b59b154e4,3e4aeb04-bf97-48d7-a1a9-bdb048b469ac,1,""" Telemedicine holds enormous promise, but these sites are just not ready for prime time,"" says Jack Resneck, the study's lead author.",“远程医疗前景广阔，但这些网站还没有准备好进入黄金时段，”该研究的主要作者杰克·雷斯内克说。,author,author 在本句中为名词，意为“作者”，与 lead 搭配构成“主要作者”，指研究论文的第一作者或负责人。,该句出自2020年9月六级真题（第2套）长篇阅读，属于观点引述类语境，常出现在阅读理解中，考查对专家言论的理解。,句子长度适中（21词），包含直接引语和同位语结构，符合真题级例句难度，既考察词汇也考察句子结构理解。,2020,2020年9月六级真题(第2套),long_reading,cet6
e29ff563-e1d4-4323-85bb-af6c38dd8ccc,0a376eca-0cfa-4fc0-aa9e-6536f25db007,1,"According to a new study from academics at Harvard, the stagnation can be put down, perhaps counterintuitively, to the introduction of state and federal family leave policies.",根据哈佛大学学者的一项新研究，这种停滞或许可以归因于州和联邦家庭休假政策的引入，这也许与直觉相反。,according,本句中'according'是形容词，意为'一致的，相等的'，但通常以固定短语'according to'（根据）的形式出现，后接名词或名词短语，表示依据或来源。此处'according to'引导状语，说明研究结论的依据。,该句出自2025年6月六级真题（第3套）仔细阅读部分，属于典型的学术研究引用语境，常出现在说明文或议论文中，用于引出研究观点或数据。,句子长度为27词，介于普通例句和长难句之间，包含插入语'perhaps counterintuitively'和短语动词'put down to'，符合六级真题难度，但结构清晰，无复杂从句。,2025,2025年6月六级真题(第3套),careful_reading,cet6
91419fea-861e-4ab8-aae0-19725782dfe8,36f7114b-3c18-422b-808f-545991089268,1,"According to a new study from academics at Harvard, the stagnation can be put down, perhaps counterintuitively, to the introduction of state and federal family leave policies.",根据哈佛大学学者的一项新研究，这种停滞或许可以反直觉地归因于州和联邦家庭休假政策的引入。,according,目标词 'accord' 在本句中未直接出现，而是以介词短语 'According to' 的形式出现，意为“根据，按照”。但词库中的 'accord' 作为名词，意为“一致，符合”，而 'according to' 是固定搭配，表示“依据”，与名词义项相关但用法不同。,该句来自2025年6月六级真题（第3套）的仔细阅读部分，属于学术研究引用类语境，常出现在阅读理解中，用于引出研究结论。,句子长度适中（27词），包含插入语 'perhaps counterintuitively' 和短语动词 'put down to'，符合六级真题难度，但目标词以变形形式出现，需注意词性差异。,2025,2025年6月六级真题(第3套),careful_reading,cet6
7b8133a8-6649-427c-a979-34b206ddc2c9,816a346c-df5b-4b1d-9be2-4de91f8580a0,1,Vegetarians would prefer not to ·be compelled to eat meat.,素食主义者更希望不被强迫吃肉。,meat,meat在本句中为名词，意为“肉”，是动词eat的宾语，指代动物肉类食品。,该句来自2020年12月六级真题（第2套）的仔细阅读部分，讨论饮食选择与个人权利。,句子结构简单，词汇基础，但涉及被动语态和不定式，符合真题中中等难度句子的特征。,2020,2020年12月六级真题(第2套),careful_reading,cet6
