table_file,field_name,category,data_type,source_path,description,primary_key
books.csv,book_id,词书,string,books[].book.id,词书唯一标识,true
books.csv,book_code,词书,string,books[].book.code,稳定词书代码,false
books.csv,book_name,词书,string,books[].book.name,词书名称,false
books.csv,target_exam,词书,string|null,books[].book.target_exam,目标考试类型,false
books.csv,total_words_metadata,校验,integer,books[].book.total_words,词书元数据标称词数,false
books.csv,enumerated_unique_words,校验,integer,books[].integrity.enumerated_unique_words,DAY 与候选词接口一致的实际可枚举词数,false
books.csv,metadata_difference,校验,integer,derived,标称词数减实际可枚举词数,false
books.csv,root_count,词书,integer,books[].book.root_count,词书标称构词元素数,false
books.csv,purchase_status,权限,string,books[].book.purchase_status,购买状态,false
books.csv,lifecycle_status,词书,string,books[].book.lifecycle_status,发布生命周期状态,false
books.csv,is_active,词书,boolean,books[].book.is_active,是否当前激活词书,false
books.csv,currently_available,权限,boolean,books[].permission.currently_available,当前是否可访问,false
books.csv,current_period_ends_at,权限,datetime|null,books[].permission.current_period_ends_at,当前授权周期结束时间,false
books.csv,final_ends_at,权限,datetime|null,books[].permission.final_ends_at,最终授权结束时间,false
words.csv,word_id,标识,string,word_details[].word_id,单词唯一标识；所有子表外键,true
words.csv,book_id,词书,string,book.id,所属词书 ID,false
words.csv,book_code,词书,string,book.code,所属词书代码,false
words.csv,book_name,词书,string,book.name,所属词书名称,false
words.csv,day_id,学习计划,string,word_index[].day_id,学习 DAY 唯一标识,false
words.csv,day_number,学习计划,integer,word_index[].day_number,学习 DAY 编号,false
words.csv,order_in_day,学习计划,integer,derived,在当前 DAY 中的顺序（从 1 开始）,false
words.csv,word_order,学习计划,integer,word_index[].word_order,服务端词序,false
words.csv,spelling,基础,string,detail.content.spelling,单词拼写,false
words.csv,pronunciation,基础,string|null,detail.content.pronunciation,音标,false
words.csv,definition_cn,基础,string|null,detail.content.definitions,中文释义,false
words.csv,audio_url,媒体,string|null,detail.content.audio_url,单词音频 URL,false
words.csv,memory_markup,记忆,string|null,detail.content.memory_markup,记忆思路 Markdown/标记文本,false
words.csv,etymology_markup,词源,string|null,detail.content.etymology_markup,词源与构词 Markdown/标记文本,false
words.csv,root_affix_notes,构词,string|null,detail.content.root_affix_notes,词根词缀笔记,false
words.csv,root_affix_accumulation,构词,string|null,detail.content.root_affix_accumulation,词根词缀积累内容,false
words.csv,vocabulary_id,生词本,string|null,detail.content.vocabulary_id,生词本成员 ID,false
words.csv,is_completed,进度,boolean,word_index[].is_completed,当前 DAY 是否已完成该词,false
words.csv,studied,进度,boolean,candidate_snapshot.studied,是否学过,false
words.csv,reviewed,进度,boolean,candidate_snapshot.reviewed,是否复习过,false
words.csv,memorized_count,进度,integer,candidate_snapshot.memorized_count,学习侧记忆次数,false
words.csv,reviewed_count,进度,integer,candidate_snapshot.reviewed_count,复习次数,false
words.csv,sentence_zone_status,句子,string,sentence_zone.status,句子区状态,false
words.csv,example_count,句子,integer,derived,普通例句数量,false
words.csv,long_sentence_count,句子,integer,derived,长难句数量,false
words.csv,exam_example_count,句子,integer,derived,真题句数量,false
words.csv,frequency_count,词频,integer,derived,词频记录数量,false
words.csv,collocation_count,搭配,integer,derived,搭配数量,false
words.csv,root_markup_count,构词,integer,derived,构词元素数量,false
words.csv,relation_group_count,关系,integer,derived,关系词分组数量,false
words.csv,analysis_seen_mark_count,标记,integer,derived,已查看分析标记数量,false
words.csv,access_allowed,权限,boolean,detail.access_policy.allowed,服务端是否允许访问,false
words.csv,access_reason,权限,string|null,detail.access_policy.reason,访问判定原因,false
words.csv,permission_type,权限,string|null,detail.access_policy.permission_type,权限类型,false
words.csv,permission_is_expired,权限,boolean,detail.access_policy.is_expired,权限是否过期,false
words.csv,protection_content_type,保护元数据,string,detail.protection.content_type,内容保护类型,false
words.csv,protection_exposure_weight,保护元数据,number,detail.protection.exposure_weight,服务端曝光权重,false
words.csv,protection_trace_id,保护元数据,string,detail.protection.trace_id,服务端追踪 ID,false
words.csv,protection_marker_type,保护元数据,string,detail.protection.marker_type,内容标记类型,false
words.csv,protection_marker_version,保护元数据,string|null,detail.protection.marker_version,内容标记版本,false
words.csv,protection_hidden_prompt,保护元数据,string|null,detail.protection.hidden_prompt,服务端返回的隐藏提示字段，原样保留,false
words.csv,detail_status,校验,string,word_details[].status,详情批次条目状态,false
sentence_zones.csv,word_id,标识,string,sentence_zone.word_id,单词 ID,true
sentence_zones.csv,book_id,词书,string,sentence_zone.book_id,词书 ID,false
sentence_zones.csv,status,句子,string,sentence_zone.status,句子区状态,false
sentence_zones.csv,contract_source,权限,string|null,sentence_zone.contract.source,句子区内容来源契约,false
sentence_zones.csv,requires_membership,权限,boolean|null,sentence_zone.contract.requires_membership,是否要求词书权限,false
