word_id,spelling,base_status,morphology_status,sentences_status,exam_status,batch_id,evidence_refs,issues,updated_at
cet4-w-22115abbb1dbe5b95403,a,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-22115abbb1dbe5b95403""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-bacdccd06e173fd821b1,abandon,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-bacdccd06e173fd821b1"",""https://www.etymonline.com/word/abandon""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-798668299e6f528c3725,ability,reviewed,reviewed,reviewed,not_started,cet4-s2-b001,"[""ev-lex-ability"",""ev-edit-b001"",""ev-etym-able""]",阶段 6 待核验真题与词频,2026-09-17
cet4-w-4336a9e7fc5d08328b8e,able,reviewed,reviewed,reviewed,not_started,cet4-s2-b001,"[""ev-lex-able"",""ev-edit-b001"",""ev-etym-able""]",阶段 6 待核验真题与词频,2026-09-17
cet4-w-9d84219b0f257903f894,aboard,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-9d84219b0f257903f894""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-b888b06eecfb1127e3bb,abolish,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-b888b06eecfb1127e3bb""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-74ca0e6dddfece3e09eb,abolition,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-74ca0e6dddfece3e09eb""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-10ad00b3ccf681d53631,about,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-10ad00b3ccf681d53631""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-90aa713e8ba73eb8b681,above,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-90aa713e8ba73eb8b681""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-901037a8628671fdfc19,abroad,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-901037a8628671fdfc19""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-16cc55aac24767aa14bb,absence,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-16cc55aac24767aa14bb""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-58351a181b08549dad1a,absent,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-58351a181b08549dad1a""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-728ab43dd091b054e608,absolute,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-728ab43dd091b054e608""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-4c1c8e3c067f577174b4,absorb,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-4c1c8e3c067f577174b4""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-a04d74b471996c660373,absorption,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-a04d74b471996c660373""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-056469f90b3da87387a9,abstract,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-056469f90b3da87387a9""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-6637e09f7003f326c224,abundance,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-6637e09f7003f326c224""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-ff701617e9aaa921796f,abundant,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-ff701617e9aaa921796f""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-b64c7215f2b60d098f09,abuse,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-b64c7215f2b60d098f09""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-99b2e6fe3c2fe7bae70f,abusive,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-99b2e6fe3c2fe7bae70f""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-adc37503995395872304,academic,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-adc37503995395872304""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-22dd7b5151742e07ab2b,academician,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-22dd7b5151742e07ab2b""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-552641985e4cd047e28b,academy,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-552641985e4cd047e28b""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-ea78159e6b442c05331c,accelerate,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-ea78159e6b442c05331c""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-05e383312cbf7488687e,acceleration,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-05e383312cbf7488687e""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-a74d5aaf2d89f72b022e,accent,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-a74d5aaf2d89f72b022e""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-fe986222f5116ea3b17e,accept,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-fe986222f5116ea3b17e""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-6cd94ae4886768d442f2,acceptable,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-6cd94ae4886768d442f2""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-45d62199f67daa2d9ed8,acceptance,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-45d62199f67daa2d9ed8""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-6884dbea1171da92f87d,access,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-6884dbea1171da92f87d""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-5caf0a3aa0c59b821237,accessible,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-5caf0a3aa0c59b821237""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-0f4159cadc2af6a38502,accident,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-0f4159cadc2af6a38502""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-df7ac4809139e92350df,accidental,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-df7ac4809139e92350df""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-1f2a401710d0596de35f,accommodate,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-1f2a401710d0596de35f""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-1edda9ffe6c8d05f5ef0,accommodation,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-1edda9ffe6c8d05f5ef0""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-7580e0daca7bf28654b8,accompany,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-7580e0daca7bf28654b8""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
cet4-w-d740153e791bc21b4bd6,accomplish,validated,draft,draft,not_started,cet4-draft-a01,"[""references/lexical.csv#cet4-w-d740153e791bc21b4bd6""]",原创初稿通过结构检查；音标与义项须二次核对；构词尚未登记；长句已补逐段释义；真题与词频无语料。,2026-09-17
