spelling	prerequisite	gloss0	gloss1	gloss2
a		虽然她已经有一台笔记本电脑	玛雅	还是买了一本笔记本，以便能用手画出想法
abandon		桥梁被暴风雨损坏后	团队	不得不放弃筹划了数月的路线
aboard		车门关闭之前	一名工作人员	确认每位乘客都已安全上车
abolish		尽管一些家长反对变动	学校	仍决定废除一条已无实际作用的规定
abolition	abolish	自从取消门票收费	这家博物馆	接待了更多原先觉得参观费用过高的家庭
about		学生对要求不确定时	教师	应在任务开始前留出提问时间
above		尽管价格超过原定预算	我们	还是选了维修费用更低的那一款
abroad		出国学习之前	莉娜	从未住过不会讲当地语言的地方
absence	absent	缺乏可靠数据时	研究人员	谨慎地避免声称该处理方法有效
absent		由于几位成员未出席会议	委员会	把决定推迟到所有人都能参与时再作出
absolute		实验要求绝对安静	房间	却临近一条全天都有繁忙车流的道路
absorb		尽管土地吸收了大量雨水	水	仍积在低于河岸的街道上
absorption	absorb	由于不同表面对热量的吸收有差异	屋顶颜色	会影响建筑物变得多热
abstract		判断研究是否相关之前	学生	先读了摘要，并记下研究人员提出的问题
abundance	abundant	尽管网上信息丰富	许多学习者	仍需有人帮助判断哪些来源可信
abundant		虽然该地区阳光充足	家庭	如果无法负担合适的设备，仍不能从太阳能中受益
abuse		如果企业滥用客户提供的信息	这些客户	以后可能连基本资料都不愿分享
abusive	abuse	论坛出现几条辱骂性消息后	管理员	制定了一条规则，要求成员讨论观点时不得攻击他人
academic	academy	尽管这本书面向学术读者	作者	仍采用了领域外的读者也能理解的例子
academician	academy	当选院士后	这位研究者	仍继续教授最初让她对教育产生兴趣的那门入门课程
academy		虽然这所学校经费有限	它	仍向白天无法上课的成人提供夜间课程
accelerate		如果新系统让人们迅速共享结果	它	可能在不扩大团队的情况下加快研究进展
acceleration	accelerate	由于乘客站着	公交车突然加速	使其中几人失去了平衡
accent		虽然听众不熟悉他的口音	他	讲得足够慢，大家都能跟上要点
accept		接受录用之前	你	应检查合同是否明确写出了工作时间
acceptable	accept	虽然双方都希望达成协议	他们	却很难找到一个所有受影响者都能接受的解决办法
acceptance	accept	随着证据越来越有力	这一观点	在最初质疑它的科学家中获得了更广泛的认可
access		如果学生无法使用稳定的网络	完全依赖视频通话的课程	可能会把部分原本要帮助的人排除在外
accessible	access	通过提供字幕和文字摘要	团队	使难以跟上录音内容的人也能理解这些讲座
accident		事故发生后	工程师	检查了道口，查明司机为何未能看见驶近的火车
accidental	accident	虽然发现纯属偶然	这位科学家	仍识别出了它的重要性，因为她多年一直在研究类似材料
accommodate		申请人数翻倍后	组织者	把活动移到了一间能让所有人舒适入座的礼堂
accommodation	accommodate	由于难以找到价格可承受的住处	许多学生	选择住得比原先计划离校园更远
accompany		因为父亲无法独自出行	她	安排了一位亲属陪他去赴约
accomplish		虽然每名志愿者只能抽出一小时	大家	仍设法完成了一个人要花好几天才能完成的工作
accomplishment	accomplish	对从未公开演讲过的学生来说	完成这次展示	是一项值得庆祝的成就
accord		尽管两个组织的优先事项不同	它们	仍就如何使用公共空间达成了协议
accordance	accord	按照上个月公布的政策	所有申请	必须由至少两名独立评审者评估
accordingly	accord	调查显示多数用户更喜欢简洁设计后	开发人员	相应调整了界面，没有继续增加功能
account		尽管目击者详细叙述了事件	调查人员	仍需要能够证实动作先后顺序的证据
accountability	accountable	如果作出决定时没有书面记录	it 是形式主语	一旦出问题，要落实责任就更困难
accountable	account	虽然项目涉及几个部门	一名经理	仍须负责确保工作按时完成
accountancy	account	完成会计学学位后	她	加入了一家小公司，在那里了解企业实际如何运作
accountant	account	年度报告发布前	会计	检查了每笔付款能否追溯到原始收据
accounting	account	由于该慈善机构依靠公众捐款	其会计记录	向所有想了解款项用途的人开放
accumulate		如果小修小补一再推迟	问题	就会越积越多，直到整个系统的维护费用变得高昂
accumulation	accumulate	数周大雪之后	屋顶积冰	迫使学校关闭，等待工程师检查建筑
accumulative	accumulate	虽然每次耽搁看起来都不严重	反复中断的累积影响	却使团队当天无法完成任务
accuracy	accurate	依赖这些信息之前	读者	应考虑准确性经过了怎样的核查，以及核查方法是否说明
accurate		即使某项预测总体上准确	它	对那些情况与数据所代表的人不同的人来说仍可能不可靠
accusation	accuse	指控公开后	该组织	公布了据其称能够说明事件经过的文件
accuse		虽然居民指责工厂污染河流	地方议会	仍等待检测结果，再决定采取什么措施
accustom		为了让自己适应新的时间安排	她	在课程开始前一周就开始早起
accustomed	accustom	尽管他习惯独自工作	他	很快发现，及早与他人讨论想法能节约时间
ace		比赛来到最后一分时	这位年轻选手	发出一记直接得分球，让对手毫无回球机会
ache		尽管爬山后双腿酸痛	她	仍觉得山顶的风景让这番努力很值得
achieve		如果这座城市要实现空气更清洁的目标	它	就需要在限制交通的同时改善公共交通
achievement	achieve	虽然获奖是一项非凡成就	她	更珍视项目期间建立的友谊
acid		把酸加入样品之前	学生	穿戴好了教师提供的防护用品
acidity	acid	由于田间各处土壤酸度不同	研究人员	从多个地点采样，没有只依赖一次测量
acknowledge		虽然公司迟迟没有承认问题	它	最终还是公布了错误发生经过的说明
acknowledgement	acknowledge	寄出申请后	她	等待回执，以确认文件已送达正确的办公室
acquaint		志愿者开始第一次轮班前	协调员	开了一个短会，让他们了解中心的办事流程
acquaintance	acquaint	通过一位在博物馆工作的熟人	我们	了解到一批很少对公众展出的藏品
acquire		学习者有机会在课外使用语言时	他们	常能学会一些仅靠词表很难记住的表达
acquisition	acquire	虽然词汇习得需要时间	经常接触有用的表达	会让新词再次出现时更容易认出
acre		农场扩大二十英亩后	主人	留出部分新增土地种树，以保护作物免受强风侵袭
across		虽然河上已建起一座人行桥	许多居民	仍走旧路，因为那条路离家更近
acting	act	主任术后恢复期间	代理经理	确保项目继续按商定的计划推进
activist	active	虽然她从未把自己看作活动人士	她	在本地图书馆面临关闭时开始组织集会
