word_id,root_index,root_id,spelling,root_type,meaning,memory_method
597eb4d1-348d-47dc-9bb7-dfcf1712cfa1,1,9b608471-0944-467d-9c9b-c3fdea0e1f2c,enter,base,表示 v.进入；参加，加入；,
dad251fe-fa3a-420a-9a47-02bb73c9083d,1,902260c2-0a41-46d9-8130-90955ee5437e,-t,suffix,可以作为动词后缀，名词后缀，形容词后缀，构成动词，名词，形容词。-t 出现在词尾时，本身通常不作为一个具有独立、统一语义的后缀来添加新的意义，仅作为完整单词的结尾；,
dad251fe-fa3a-420a-9a47-02bb73c9083d,2,564ce2bf-a7f2-42ac-a3fd-0a9d23c2d93d,eat,base,表示 v.吃；,
bb579196-8b02-4b50-b1bb-e12b8dd632cc,1,f6f7fa2a-d8cb-4fb3-86e9-abd0b53335ac,-l,suffix,为常见词尾，① 常作形容词后缀，作形容词，表示…的；② 也可作名词后缀，表示名词，常用于指小词或工具名词后缀的组成部分；③ 还可以作动词后缀，表示动词；,
bb579196-8b02-4b50-b1bb-e12b8dd632cc,2,a56186b4-c89b-42c7-97b4-ce7b4a37d979,meal,root,"表示""一餐，膳食""或""谷物磨成的粗粉""；","划分：me | al
针对第 1 个元素采用谐音记忆法：me 在词根里的发音类似中文""米""，大米；将 -al 理解为名词后缀，对应名词 ——> ① 表示以大米为主的餐食，由此把握 meal 作词根表示""一餐，膳食""；② 针对 me 采用谐音记忆法，me 还可以对应拼音 mo - 磨，由此延伸表示将大米磨碎成粉末，故 meal 作词根表示""谷物磨成的粗粉""；"
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,1,bb44b140-c5fb-4dc6-afed-66b979b92820,cour,root,"表示""心""、""跑""或""庭院""；","① 针对整个词根采用谐音记忆法：cour 在词根里发音类似中文""核""，核心，对应与核心、中心、心有关的意向，比如联想到一个水果里的果核或者一个团队里的核心人物，把握其位于中心，与心有关的含义，把握 cour 作词根表示""心""；

② 划分：c | o | u | r
针对第 1 个元素采用谐音记忆法：c 在词根里的发音类似作为首字母进行拼音拼读 chong - 冲，冲刺，冲跑；
针对第 2 个元素采用字形联想法：通过 o 字形的圆形特征联想到椭圆形的门；
联系词根的含义再综合考虑 c（冲 - 冲跑，冲刺）+ o（椭圆形的门）= 冲出一扇门。联想到一个人大步流星跑着冲出大门的场景，把握整个场景与跑、跑动有关的含义，作词根表示""跑""；

③ 针对整个词根采用谐音记忆法：cour 在词根里的发音类似中文""叩""，叩门，敲门，结合词根""庭院""的含义联想到如图如图所示一个人正在敲打一座古色古香的庭院的大门，具体刻画拥有雅致大门、内部布满亭台楼阁的庭院细节，把握与大户人家的庭院有关的含义，故 cour 作词根表示""庭院""；

![Pasted image 20250830024432.png](https://cdn.aimwords.com/prefix-images/cour/ce6fe38e-Pasted_image_20250830024432.png)"
7f36b380-6dc9-46e4-b5ee-c90ab3b911a2,2,902260c2-0a41-46d9-8130-90955ee5437e,-t,suffix,可以作为动词后缀，名词后缀，形容词后缀，构成动词，名词，形容词。-t 出现在词尾时，本身通常不作为一个具有独立、统一语义的后缀来添加新的意义，仅作为完整单词的结尾；,
23228a76-0482-4b5a-a9c0-4084908853cd,1,6d4e80c8-b933-4fac-b4a2-a9cca02f3b9b,yard,base,表示 n.院子；场地，（某种用途的）区域；码（长度单位，等于 3 英尺或 0.91 米）；（尤指沙等建筑材料的）平方码，立方码；,
818f57a1-405d-4a86-82d2-b4f8fe024843,1,bb44b140-c5fb-4dc6-afed-66b979b92820,cour,root,"表示""心""、""跑""或""庭院""；","① 针对整个词根采用谐音记忆法：cour 在词根里发音类似中文""核""，核心，对应与核心、中心、心有关的意向，比如联想到一个水果里的果核或者一个团队里的核心人物，把握其位于中心，与心有关的含义，把握 cour 作词根表示""心""；

② 划分：c | o | u | r
针对第 1 个元素采用谐音记忆法：c 在词根里的发音类似作为首字母进行拼音拼读 chong - 冲，冲刺，冲跑；
针对第 2 个元素采用字形联想法：通过 o 字形的圆形特征联想到椭圆形的门；
联系词根的含义再综合考虑 c（冲 - 冲跑，冲刺）+ o（椭圆形的门）= 冲出一扇门。联想到一个人大步流星跑着冲出大门的场景，把握整个场景与跑、跑动有关的含义，作词根表示""跑""；

③ 针对整个词根采用谐音记忆法：cour 在词根里的发音类似中文""叩""，叩门，敲门，结合词根""庭院""的含义联想到如图如图所示一个人正在敲打一座古色古香的庭院的大门，具体刻画拥有雅致大门、内部布满亭台楼阁的庭院细节，把握与大户人家的庭院有关的含义，故 cour 作词根表示""庭院""；

![Pasted image 20250830024432.png](https://cdn.aimwords.com/prefix-images/cour/ce6fe38e-Pasted_image_20250830024432.png)"
818f57a1-405d-4a86-82d2-b4f8fe024843,2,902260c2-0a41-46d9-8130-90955ee5437e,-t,suffix,可以作为动词后缀，名词后缀，形容词后缀，构成动词，名词，形容词。-t 出现在词尾时，本身通常不作为一个具有独立、统一语义的后缀来添加新的意义，仅作为完整单词的结尾；,
