root_id,root_type,language,canonical_form,meaning_key,meaning_cn,variant_forms_json,evidence_refs,review_status
cy-morph-6e8bfeb3ede6438a4b09,root,la,act,do,做；行动,"[""ag""]","[""ev-etym-act""]",reviewed
cy-morph-30687993aea0753e18de,suffix,la,-ion,action_noun,动作、过程或结果名词,[],"[""ev-etym-act"",""ev-etym-suffixes""]",reviewed
cy-morph-6c886b8d16357e103ca0,suffix,la,-ive,adjective_tendency,具有…性质的,[],"[""ev-etym-act"",""ev-etym-suffixes""]",reviewed
cy-morph-a89637be8e59c5f9e655,suffix,la,-ity,abstract_quality,性质或状态,[],"[""ev-etym-suffixes""]",reviewed
cy-morph-36992902d5d922fc3483,suffix,la,-or,agent,从事…的人,[],"[""ev-etym-act"",""ev-etym-suffixes""]",reviewed
cy-morph-01bd709dc1ff1449888b,prefix,la,re-,back_again,回；再,[],"[""ev-etym-act"",""ev-etym-port"",""ev-etym-spect""]",reviewed
cy-morph-4c6d7b4a9dd01fe89b3b,base,en,able,capable,能够的；有能力的,"[""abil""]","[""ev-etym-able""]",reviewed
cy-morph-d19455253b4c9399cb16,prefix,fr,en-,make_cause,使成为；使具有,[],"[""ev-etym-able""]",reviewed
cy-morph-7d7d867b2e5b2f3c7bd2,prefix,la,dis-,reverse_remove,相反；去除,[],"[""ev-etym-able""]",reviewed
cy-morph-b5b212debb01bfd1a61f,suffix,en,-ed,resulting_state,处于…状态的,[],"[""ev-etym-able""]",reviewed
cy-morph-9bdded8d81a6fc287342,root,la,port,carry,携带；运送,[],"[""ev-etym-port""]",reviewed
cy-morph-2ecf73f610f9df9f3d3e,prefix,la,in-,inward,向内；进入,"[""im-""]","[""ev-etym-port"",""ev-etym-spect""]",reviewed
cy-morph-1bb8ba1376c7167f39bd,prefix,la,ex-,outward,向外；出去,[],"[""ev-etym-port"",""ev-etym-spect""]",reviewed
cy-morph-b13dccde1ecbcfe37532,prefix,la,trans-,across,横过；从一处到另一处,[],"[""ev-etym-port""]",reviewed
cy-morph-fc3fe402a69511bb4bd3,prefix,la,sub-,under_support,在下；从下支撑,"[""sup-""]","[""ev-etym-port""]",reviewed
cy-morph-a86088622b3d34d875ea,root,la,spect,look,看；观察,"[""spec"",""spic"",""pect""]","[""ev-etym-spect""]",reviewed
cy-morph-db08910c6a9857416456,prefix,la,pro-,forward,向前,[],"[""ev-etym-spect""]",reviewed
cy-morph-c63ee75e3764b25ddff2,base,en,air,air,空气；空中,[],"[""ev-etym-airport""]",reviewed
cy-morph-a91d470e727587a1a514,base,en,port,harbor,港口,[],"[""ev-etym-airport""]",reviewed
cy-morph-b2e32edd0451bdcac7aa,base,en,black,black,黑色的,[],"[""ev-etym-blackboard""]",reviewed
cy-morph-88ef86a0c5a07b2d854d,base,en,board,flat_board,板,[],"[""ev-etym-blackboard""]",reviewed
cy-morph-987154f3eb654a922cfe,base,en,class,class_group,班级；课,[],"[""ev-etym-classroom""]",reviewed
cy-morph-d90d3f380b289141ab8f,base,en,room,enclosed_space,房间；空间,[],"[""ev-etym-classroom""]",reviewed
cy-morph-a689fa0dc887d0ace80e,base,en,news,news,新闻,[],"[""ev-etym-newspaper""]",reviewed
cy-morph-74678b4f36347647e834,base,en,paper,paper_publication,纸；报纸,[],"[""ev-etym-newspaper""]",reviewed
cy-morph-d32c91f3051cb1b11226,base,en,well,well_adverb,很好地,[],"[""ev-etym-well-known""]",reviewed
cy-morph-bb46875421a3971bc86d,base,en,known,known,为人所知的,[],"[""ev-etym-well-known""]",reviewed
cy-morph-ab408dbcb2eea9c4944c,root,la,manu,hand,手,[],"[""ev-etym-manufacture""]",reviewed
cy-morph-64fa89a5e2bd17deb897,root,la,fact,make_do,做；制作,"[""fac""]","[""ev-etym-manufacture""]",reviewed
cy-morph-51d48dda2c8f37be5c8c,suffix,la,-ure,result_process_noun,过程或结果名词,[],"[""ev-etym-manufacture"",""ev-etym-agriculture""]",reviewed
cy-morph-2d415edc745fcf5e4e9c,root,la,agr,field,田地；农业,"[""agri"",""agro""]","[""ev-etym-agriculture""]",reviewed
cy-morph-5ff3bf62b94a85c239b5,root,la,cult,cultivate,耕种；培育,"[""cultur""]","[""ev-etym-agriculture""]",reviewed
