word_id,spelling,prerequisite_word_id,prerequisite_spelling,relation,evidence
cet4-w-b4e76965b5a7943279ac,action,cet4-w-dcc6b6de5d3f3f80ff02,act,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-560e8b954a1a6e8c9768,active,cet4-w-dcc6b6de5d3f3f80ff02,act,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-4ced4a567905ee623d9d,activity,cet4-w-560e8b954a1a6e8c9768,active,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-45384c5a5727e65aeb71,actor,cet4-w-dcc6b6de5d3f3f80ff02,act,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-25dfe87120b7c0b3f123,react,cet4-w-dcc6b6de5d3f3f80ff02,act,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-798668299e6f528c3725,ability,cet4-w-4336a9e7fc5d08328b8e,able,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-c87b5d351d670ef64440,enable,cet4-w-4336a9e7fc5d08328b8e,able,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-f41aa887a6195a11b2ae,disable,cet4-w-4336a9e7fc5d08328b8e,able,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-8bcbba84a7d7eab25b03,disabled,cet4-w-f41aa887a6195a11b2ae,disable,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-8c8d138547024805cf9e,export,cet4-w-43ac0394e915760d27a8,import,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-74ca0e6dddfece3e09eb,abolition,cet4-w-b888b06eecfb1127e3bb,abolish,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-16cc55aac24767aa14bb,absence,cet4-w-58351a181b08549dad1a,absent,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-a04d74b471996c660373,absorption,cet4-w-4c1c8e3c067f577174b4,absorb,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-6637e09f7003f326c224,abundance,cet4-w-ff701617e9aaa921796f,abundant,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-99b2e6fe3c2fe7bae70f,abusive,cet4-w-b64c7215f2b60d098f09,abuse,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-adc37503995395872304,academic,cet4-w-552641985e4cd047e28b,academy,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-22dd7b5151742e07ab2b,academician,cet4-w-552641985e4cd047e28b,academy,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
cet4-w-05e383312cbf7488687e,acceleration,cet4-w-ea78159e6b442c05331c,accelerate,learning_prerequisite,人工核对巧记及教学顺序；不表示词源关系。
