word_id,book_id,book_code,book_name,day_id,day_number,order_in_day,word_order,spelling,pronunciation,definition_cn,audio_url,memory_markup,etymology_markup,root_affix_notes,root_affix_accumulation,vocabulary_id,is_completed,studied,reviewed,memorized_count,reviewed_count,sentence_zone_status,example_count,long_sentence_count,exam_example_count,frequency_count,collocation_count,root_markup_count,relation_group_count,analysis_seen_mark_count,access_allowed,access_reason,permission_type,permission_is_expired,protection_content_type,protection_exposure_weight,protection_trace_id,protection_marker_type,protection_marker_version,protection_hidden_prompt,detail_status
cet4-w-dcc6b6de5d3f3f80ff02,cyword-cet4,cet4,大学英语四级（30 词样板）,,,,72,act,/ækt/,v. 行动；表现；扮演。n. 行为；法案；一幕。,,导演一喊“Action!”，演员立刻推门进场。act 就抓住这一下“做起来”的动作，放到舞台上是表演，放到生活里是行动。,[[morph:root:la:act:do|act]] 源自表示“做、驱动”的拉丁词干；名词与动词都围绕“做”展开。,act 可作动词或名词。act as 表示“担任；起……作用”，act on 表示“根据……采取行动”。,同族：[[word:action|action]]、[[word:active|active]]、[[word:actor|actor]]、[[word:react|react]]。,,false,false,false,0,0,ready,1,1,0,0,1,1,1,0,true,,,false,,,,,,,ok
cet4-w-b4e76965b5a7943279ac,cyword-cet4,cet4,大学英语四级（30 词样板）,,,,74,action,/ˈækʃən/,n. 行动；措施；行为；作用。,,计划写满了三页，人却还坐着。等你合上本子去办第一件事，才有了 action。[[word:act|act]] 是动手做，action 是拿出来的行动。,[[morph:root:la:act:do|act]]（做）+ [[morph:suffix:la:-ion:action_noun|-ion]]（动作或过程名词）→ 行动、行为。,常见结构 take action to do sth.；action 作不可数名词时强调行动这一过程。,-ion 常把动词概念转为动作、过程或结果名词。,,false,false,false,0,0,ready,1,1,0,0,1,2,1,0,true,,,false,,,,,,,ok
cet4-w-560e8b954a1a6e8c9768,cyword-cet4,cet4,大学英语四级（30 词样板）,,,,75,active,/ˈæktɪv/,adj. 积极的；活跃的；在运作的。,,聚餐还没定地方，他已经问好人数、订好桌了。这个总能先行动起来的人很 active。抓住 [[word:act|act]] 的“做”，记住积极、活跃的样子。,[[morph:root:la:act:do|act]]（做、行动）+ [[morph:suffix:la:-ive:adjective_tendency|-ive]]（具有……性质的）→ 活跃的、主动的。,active 可描述人、生活方式、组织或设备；be active in 表示积极参与某领域。,名词 [[word:activity|activity]] 表示活动或活跃状态。,,false,false,false,0,0,ready,1,1,0,0,1,2,1,0,true,,,false,,,,,,,ok
cet4-w-4ced4a567905ee623d9d,cyword-cet4,cet4,大学英语四级（30 词样板）,,,,77,activity,/ækˈtɪvəti/,n. 活动；活跃；活动量。,,周末群里突然热闹起来，约球的、爬山的都在报名。让大家从 [[word:active|active]] 的活跃状态里忙起来的一件件事，就是 activities；单数写 activity。,[[morph:root:la:act:do|act]]（行动）+ [[morph:suffix:la:-ive:adjective_tendency|-ive]] + [[morph:suffix:la:-ity:abstract_quality|-ity]]（状态）→ 活动或活跃状态。,activity 可数时是一项活动；表示某地或系统中的活动状况时可作不可数名词。,active → activity 时重音后移，拼写保留 activ- 再接 -ity。,,false,false,false,0,0,ready,1,1,0,0,1,3,1,0,true,,,false,,,,,,,ok
cet4-w-45384c5a5727e65aeb71,cyword-cet4,cet4,大学英语四级（30 词样板）,,,,78,actor,/ˈæktə(r)/,n. 演员；行动者；参与者。,,同一个人，刚才还是笑着聊天的同学，幕布一拉开就成了国王。他在 [[word:act|act]]，他的身份就是 actor。词尾 [[morph:suffix:la:-or:agent|-or]] 把动作接到了做这件事的人身上。,[[morph:root:la:act:do|act]]（做、表演）+ [[morph:suffix:la:-or:agent|-or]]（做事者）→ 演员或行动参与者。,日常最常见义是演员；正式语境中也可指在事件中发挥作用的个人或组织。,-or 还见于表示执行者的词，但不能仅凭结尾判断词源。,,false,false,false,0,0,ready,1,1,0,0,1,2,1,0,true,,,false,,,,,,,ok
cet4-w-25dfe87120b7c0b3f123,cyword-cet4,cet4,大学英语四级（30 词样板）,,,,4489,react,/riˈækt/,v. 作出反应；回应；发生化学反应。,,有人突然在你背后拍手，你“啊”一声转过头来。外面先有一下刺激，你跟着作出动作，这个“回应一下”就是 react。[[word:act|act]] 前面添 re-，把注意力放在反应上。,[[morph:prefix:la:re-:back_again|re-]]（回、再）+ [[morph:root:la:act:do|act]]（行动）→ 回应、作出反应。,react to 后接引发反应的人或事；化学语境常用 react with。,re- 在 react 中表示回应性的“回”，不是简单重复动作。,,false,false,false,0,0,ready,1,1,0,0,1,2,0,0,true,,,false,,,,,,,ok
cet4-w-4336a9e7fc5d08328b8e,cyword-cet4,cet4,大学英语四级（30 词样板）,,,,4,able,/ˈeɪbəl/,adj. 能够的；有能力的；能干的。,,瓶盖太紧，几个人轮着拧都没开。你接过来一拧，开了。I am able to open it，这里的 able 就是“能办到”。,把 [[morph:base:en:able:capable|able]] 作为现代英语词基整体掌握，表示有能力或有条件完成某事。,be able to do 可用于 can 不便使用的时态；able 单独修饰人时还可表示能干的。,词族：[[word:ability|ability]]、[[word:enable|enable]]、[[word:disable|disable]]。,,false,false,false,0,0,ready,1,1,0,0,1,1,1,0,true,,,false,,,,,,,ok
cet4-w-798668299e6f528c3725,cyword-cet4,cet4,大学英语四级（30 词样板）,,,,3,ability,/əˈbɪləti/,n. 能力；本领；才能。,,同一只紧瓶盖，别人打不开，你能打开。[[word:able|able]] 说你能做到，ability 则把那份本事单独拎出来说。换成游泳、解题，也是同一个意思。,[[morph:base:en:able:capable|abil(e)]]（能够的）+ [[morph:suffix:la:-ity:abstract_quality|-ity]]（性质、状态）→ 能力。,ability to do sth. 表示做某事的能力；表示不同方面的才干时可用复数 abilities。,able 接 -ity 时表面形式变为 abil-，属于同一词基的拼写变化。,,false,false,false,0,0,ready,1,1,0,0,1,2,1,0,true,,,false,,,,,,,ok
cet4-w-c87b5d351d670ef64440,cyword-cet4,cet4,大学英语四级（30 词样板）,,,,1894,enable,/ɪˈneɪbəl/,v. 使能够；使成为可能；启用。,,轮椅在台阶前停住，门口加了一道坡道，人就能自己进去了。这个“让原本做不到的人变得 [[word:able|able]]”的变化，就是 enable。,[[morph:prefix:fr:en-:make_cause|en-]]（使）+ [[morph:base:en:able:capable|able]]（能够的）→ 使能够。,enable sb. to do sth. 是核心结构；技术语境中还可表示启用功能。,与 [[word:disable|disable]] 在“启用/禁用”语境中构成反义对照。,,false,false,false,0,0,ready,1,1,0,0,1,2,1,0,true,,,false,,,,,,,ok
cet4-w-f41aa887a6195a11b2ae,cyword-cet4,cet4,大学英语四级（30 词样板）,,,,1628,disable,/dɪsˈeɪbəl/,v. 使失去能力；使伤残；禁用。,,手机通知一声接一声，你进设置把开关关掉，总算安静了。把原本 [[word:able|able]]、能工作的功能关掉，就是 disable。,[[morph:prefix:la:dis-:reverse_remove|dis-]]（去除、反向）+ [[morph:base:en:able:capable|able]]（有能力的）→ 使不能；禁用。,disable a feature 指禁用功能；描述残障人士时不应把人简化成动作结果，宜根据语境使用 disabled people 等尊重表达。,过去分词形式 [[word:disabled|disabled]] 常作形容词。,,false,false,false,0,0,ready,1,1,0,0,1,2,2,0,true,,,false,,,,,,,ok
cet4-w-8bcbba84a7d7eab25b03,cyword-cet4,cet4,大学英语四级（30 词样板）,,,,1629,disabled,/dɪsˈeɪbəld/,adj. 残障的；被禁用的；失去功能的。,,开关关掉以后，按钮变灰，旁边写着 disabled。[[word:disable|disable]] 是关闭的动作，disabled 是已经不能使用的状态。说到人时，这个词还表示残障的。,[[morph:prefix:la:dis-:reverse_remove|dis-]] + [[morph:base:en:able:capable|able]] + [[morph:suffix:en:-ed:resulting_state|-ed]] → 处于能力受限或功能被关闭的状态。,disabled access 指无障碍通行设施；disabled account 指被禁用的账户。谈及人时应采用尊重且符合当事人偏好的表达。,disable 是动作，disabled 更常描述动作造成的状态。,,false,false,false,0,0,ready,1,1,0,0,1,3,1,0,true,,,false,,,,,,,ok
cet4-w-43ac0394e915760d27a8,cyword-cet4,cet4,大学英语四级（30 词样板）,,,,2828,import,n. /ˈɪmpɔːt/; v. /ɪmˈpɔːt/,v. 进口；引入。n. 进口商品；进口。,,站在本国海关里看，一箱箱咖啡豆正从国外运进来。[[morph:prefix:la:in-:inward|im-]] 指向内，[[morph:root:la:port:carry|port]] 是运送，合起来就是进口。,[[morph:prefix:la:in-:inward|im-]]（向内）+ [[morph:root:la:port:carry|port]]（运送）→ 进口、引入。,名词通常首音节重读，动词通常第二音节重读。import goods from a country 表示从某国进口商品。,与 [[word:export|export]] 形成“运入/运出”对照。,,false,false,false,0,0,ready,1,1,0,0,1,2,1,0,true,,,false,,,,,,,ok
cet4-w-8c8d138547024805cf9e,cyword-cet4,cet4,大学英语四级（30 词样板）,,,,2089,export,n. /ˈekspɔːt/; v. /ɪkˈspɔːt/,v. 出口；输出。n. 出口商品；出口。,,这一回，海关里的卡车装着本国的茶叶，正往国外开。[[morph:prefix:la:ex-:outward|ex-]] 指向外，[[morph:root:la:port:carry|port]] 是运送，export 就是出口，方向与 [[word:import|import]] 相反。,[[morph:prefix:la:ex-:outward|ex-]]（向外）+ [[morph:root:la:port:carry|port]]（运送）→ 出口、输出。,名词通常首音节重读，动词通常第二音节重读。export products to a market 表示向某市场出口产品。,与 [[word:import|import]] 形成方向相反的词根对照。,,false,false,false,0,0,ready,1,1,0,0,1,2,1,0,true,,,false,,,,,,,ok
