word_id,root_index,root_id,spelling,root_type,meaning,memory_method
cet4-w-dcc6b6de5d3f3f80ff02,0,cy-morph-6e8bfeb3ede6438a4b09,act,root,做；行动,抓住“做、行动”这一核心，不把 act 机械对应成单一中文词。
cet4-w-b4e76965b5a7943279ac,0,cy-morph-6e8bfeb3ede6438a4b09,act,root,做；行动,
cet4-w-b4e76965b5a7943279ac,1,cy-morph-30687993aea0753e18de,-ion,suffix,动作、过程或结果名词,
cet4-w-560e8b954a1a6e8c9768,0,cy-morph-6e8bfeb3ede6438a4b09,act,root,做；行动,
cet4-w-560e8b954a1a6e8c9768,1,cy-morph-6c886b8d16357e103ca0,-ive,suffix,具有…性质的,
cet4-w-4ced4a567905ee623d9d,0,cy-morph-6e8bfeb3ede6438a4b09,act,root,做；行动,
cet4-w-4ced4a567905ee623d9d,1,cy-morph-6c886b8d16357e103ca0,-ive,suffix,具有…性质的,
cet4-w-4ced4a567905ee623d9d,2,cy-morph-a89637be8e59c5f9e655,-ity,suffix,性质或状态,
cet4-w-45384c5a5727e65aeb71,0,cy-morph-6e8bfeb3ede6438a4b09,act,root,做；行动,
cet4-w-45384c5a5727e65aeb71,1,cy-morph-36992902d5d922fc3483,-or,suffix,从事…的人,
cet4-w-25dfe87120b7c0b3f123,0,cy-morph-01bd709dc1ff1449888b,re-,prefix,回；再,
cet4-w-25dfe87120b7c0b3f123,1,cy-morph-6e8bfeb3ede6438a4b09,act,root,做；行动,
cet4-w-4336a9e7fc5d08328b8e,0,cy-morph-4c6d7b4a9dd01fe89b3b,able,base,能够的；有能力的,
cet4-w-798668299e6f528c3725,0,cy-morph-4c6d7b4a9dd01fe89b3b,abil,base,能够的；有能力的,
cet4-w-798668299e6f528c3725,1,cy-morph-a89637be8e59c5f9e655,-ity,suffix,性质或状态,
cet4-w-c87b5d351d670ef64440,0,cy-morph-d19455253b4c9399cb16,en-,prefix,使成为；使具有,
cet4-w-c87b5d351d670ef64440,1,cy-morph-4c6d7b4a9dd01fe89b3b,able,base,能够的；有能力的,
cet4-w-f41aa887a6195a11b2ae,0,cy-morph-7d7d867b2e5b2f3c7bd2,dis-,prefix,相反；去除,
cet4-w-f41aa887a6195a11b2ae,1,cy-morph-4c6d7b4a9dd01fe89b3b,able,base,能够的；有能力的,
cet4-w-8bcbba84a7d7eab25b03,0,cy-morph-7d7d867b2e5b2f3c7bd2,dis-,prefix,相反；去除,
cet4-w-8bcbba84a7d7eab25b03,1,cy-morph-4c6d7b4a9dd01fe89b3b,able,base,能够的；有能力的,
cet4-w-8bcbba84a7d7eab25b03,2,cy-morph-b5b212debb01bfd1a61f,-ed,suffix,处于…状态的,
cet4-w-43ac0394e915760d27a8,0,cy-morph-2ecf73f610f9df9f3d3e,im-,prefix,向内；进入,
cet4-w-43ac0394e915760d27a8,1,cy-morph-9bdded8d81a6fc287342,port,root,携带；运送,
cet4-w-8c8d138547024805cf9e,0,cy-morph-1bb8ba1376c7167f39bd,ex-,prefix,向外；出去,
cet4-w-8c8d138547024805cf9e,1,cy-morph-9bdded8d81a6fc287342,port,root,携带；运送,
cet4-w-d3fb2c3206cf3fc68ee3,0,cy-morph-01bd709dc1ff1449888b,re-,prefix,回；再,
cet4-w-d3fb2c3206cf3fc68ee3,1,cy-morph-9bdded8d81a6fc287342,port,root,携带；运送,
cet4-w-f51c719af127ab336448,0,cy-morph-b13dccde1ecbcfe37532,trans-,prefix,横过；从一处到另一处,
cet4-w-f51c719af127ab336448,1,cy-morph-9bdded8d81a6fc287342,port,root,携带；运送,
cet4-w-385010cccc39746e3da1,0,cy-morph-fc3fe402a69511bb4bd3,sup-,prefix,在下；从下支撑,
cet4-w-385010cccc39746e3da1,1,cy-morph-9bdded8d81a6fc287342,port,root,携带；运送,
cet4-w-88452520399cf5c4e49e,0,cy-morph-2ecf73f610f9df9f3d3e,in-,prefix,向内；进入,
cet4-w-88452520399cf5c4e49e,1,cy-morph-a86088622b3d34d875ea,spect,root,看；观察,
cet4-w-9cba42e078093d550bf2,0,cy-morph-01bd709dc1ff1449888b,re-,prefix,回；再,
cet4-w-9cba42e078093d550bf2,1,cy-morph-a86088622b3d34d875ea,spect,root,看；观察,
cet4-w-7b27c3e81299f870cb00,0,cy-morph-1bb8ba1376c7167f39bd,ex-,prefix,向外；出去,
cet4-w-7b27c3e81299f870cb00,1,cy-morph-a86088622b3d34d875ea,pect,root,看；观察,
cet4-w-f262db840d22de476630,0,cy-morph-db08910c6a9857416456,pro-,prefix,向前,
cet4-w-f262db840d22de476630,1,cy-morph-a86088622b3d34d875ea,spect,root,看；观察,
cet4-w-196eea6931afa61926c6,0,cy-morph-c63ee75e3764b25ddff2,air,base,空气；空中,
cet4-w-196eea6931afa61926c6,1,cy-morph-a91d470e727587a1a514,port,base,港口,
cet4-w-50a30d1bad42f8113242,0,cy-morph-b2e32edd0451bdcac7aa,black,base,黑色的,
cet4-w-50a30d1bad42f8113242,1,cy-morph-88ef86a0c5a07b2d854d,board,base,板,
