word_id,long_sentence_id,segment_index,role,role_label,text,gloss,level,spine
cet4-w-dcc6b6de5d3f3f80ff02,cet4-w-dcc6b6de5d3f3f80ff02:long:001,0,adv,让步状语从句,"Although the alarm sounded before dawn, ",尽管警报在黎明前响起,1,false
cet4-w-dcc6b6de5d3f3f80ff02,cet4-w-dcc6b6de5d3f3f80ff02:long:001,1,subj,主语,the guard,警卫,0,true
cet4-w-dcc6b6de5d3f3f80ff02,cet4-w-dcc6b6de5d3f3f80ff02:long:001,2,pred,并列谓语, acted at once and led every visitor to safety.,立即行动并把所有访客带到安全地带,0,true
cet4-w-b4e76965b5a7943279ac,cet4-w-b4e76965b5a7943279ac:long:001,0,adv,原因状语从句,"Because repeated warnings had been ignored, ",由于一再发出的警告都被忽视,1,false
cet4-w-b4e76965b5a7943279ac,cet4-w-b4e76965b5a7943279ac:long:001,1,subj,主语,the committee,委员会,0,true
cet4-w-b4e76965b5a7943279ac,cet4-w-b4e76965b5a7943279ac:long:001,2,pred,谓语和宾语, demanded immediate action to protect the river.,要求立即采取行动保护河流,0,true
cet4-w-560e8b954a1a6e8c9768,cet4-w-560e8b954a1a6e8c9768:long:001,0,subj,主语中心词,Students,学生,0,true
cet4-w-560e8b954a1a6e8c9768,cet4-w-560e8b954a1a6e8c9768:long:001,1,attr,定语从句, who stay active outside class,课外保持活跃的,1,false
cet4-w-560e8b954a1a6e8c9768,cet4-w-560e8b954a1a6e8c9768:long:001,2,pred,谓语和宾语, often develop skills that cannot be learned from textbooks alone.,往往培养出仅靠课本无法学到的能力,0,true
cet4-w-4ced4a567905ee623d9d,cet4-w-4ced4a567905ee623d9d:long:001,0,adv,让步状语从句,"While online activity makes information easier to share, ",网络活动虽然让信息更易分享,1,false
cet4-w-4ced4a567905ee623d9d,cet4-w-4ced4a567905ee623d9d:long:001,1,subj,主语,it,它，即网络活动,0,true
cet4-w-4ced4a567905ee623d9d,cet4-w-4ced4a567905ee623d9d:long:001,2,pred,谓语和宾语补足结构, can also expose careless users to unnecessary risks.,也可能使粗心用户面临不必要的风险,0,true
cet4-w-45384c5a5727e65aeb71,cet4-w-45384c5a5727e65aeb71:long:001,0,adv,让步状语从句,"Although the actor had only a minor role, ",尽管这位演员只有一个小角色,1,false
cet4-w-45384c5a5727e65aeb71,cet4-w-45384c5a5727e65aeb71:long:001,1,subj,主语,his calm performance,他沉稳的表演,0,true
cet4-w-45384c5a5727e65aeb71,cet4-w-45384c5a5727e65aeb71:long:001,2,pred,谓语和双宾语式结构, gave the final scene unexpected emotional weight.,给最后一幕增添了意外的情感分量,0,true
cet4-w-25dfe87120b7c0b3f123,cet4-w-25dfe87120b7c0b3f123:long:001,0,adv,时间状语从句,"When customers react negatively to a new service, ",当顾客对新服务作出负面反应时,1,false
cet4-w-25dfe87120b7c0b3f123,cet4-w-25dfe87120b7c0b3f123:long:001,1,subj,主语,managers,管理者,0,true
cet4-w-25dfe87120b7c0b3f123,cet4-w-25dfe87120b7c0b3f123:long:001,2,pred,谓语和时间顺序, should examine the cause before changing the entire plan.,应在改变整个计划前查明原因,0,true
cet4-w-4336a9e7fc5d08328b8e,cet4-w-4336a9e7fc5d08328b8e:long:001,0,adv,方式状语,"By comparing several sources, ",通过比较多个来源,1,false
cet4-w-4336a9e7fc5d08328b8e,cet4-w-4336a9e7fc5d08328b8e:long:001,1,pred,主句主干,readers are better able to recognize claims,读者能更好地识别各种说法,0,true
cet4-w-4336a9e7fc5d08328b8e,cet4-w-4336a9e7fc5d08328b8e:long:001,2,attr,定语从句, that lack reliable evidence.,缺乏可靠证据的,1,false
cet4-w-798668299e6f528c3725,cet4-w-798668299e6f528c3725:long:001,0,subj,扩展主语,A student's ability to question familiar ideas,学生质疑熟悉观点的能力,0,true
cet4-w-798668299e6f528c3725,cet4-w-798668299e6f528c3725:long:001,1,pred,比较谓语, often matters more than the number of facts,往往比事实的数量更重要,0,true
cet4-w-798668299e6f528c3725,cet4-w-798668299e6f528c3725:long:001,2,attr,定语从句, that can be memorized.,能够被记住的,1,false
cet4-w-c87b5d351d670ef64440,cet4-w-c87b5d351d670ef64440:long:001,0,adv,条件状语从句,"If public data are presented clearly, ",如果公共数据呈现得清楚,1,false
cet4-w-c87b5d351d670ef64440,cet4-w-c87b5d351d670ef64440:long:001,1,subj,主语,they,它们，即公共数据,0,true
cet4-w-c87b5d351d670ef64440,cet4-w-c87b5d351d670ef64440:long:001,2,pred,谓语和复合宾语, can enable citizens to judge whether a policy is working.,能使公民判断政策是否有效,0,true
cet4-w-f41aa887a6195a11b2ae,cet4-w-f41aa887a6195a11b2ae:long:001,0,adv,时间状语,"Before installing unfamiliar software, ",安装陌生软件之前,1,false
cet4-w-f41aa887a6195a11b2ae,cet4-w-f41aa887a6195a11b2ae:long:001,1,subj,主语和谓语,users should check,用户应检查,0,true
cet4-w-f41aa887a6195a11b2ae,cet4-w-f41aa887a6195a11b2ae:long:001,2,obj,宾语从句, whether it may disable protections that keep their devices secure.,它是否可能关闭保障设备安全的防护,1,false
cet4-w-8bcbba84a7d7eab25b03,cet4-w-8bcbba84a7d7eab25b03:long:001,0,adv,让步状语从句,"Although the old station now offers disabled access, ",尽管老车站现已提供无障碍通行设施,1,false
cet4-w-8bcbba84a7d7eab25b03,cet4-w-8bcbba84a7d7eab25b03:long:001,1,subj,主语,several platforms,几个站台,0,true
