evidence_id,subject_type,subject_id,field_group,source_id,locator,url,claim,origin,review_status,reviewed_at
ev-etym-act,morpheme,family-act,morphology,etymonline-act,origin and history,https://www.etymonline.com/word/act,act 家族来自表示“做、驱动”的拉丁词干；action、active、actor 与 react 的关系据此核对。,etymology_reference,reviewed,2026-09-04
ev-etym-able,morpheme,family-able,morphology,etymonline-enable,origin and history,https://www.etymonline.com/word/enable,able 作为现代英语词基；enable 为 en- 加 able，disable/disabled 的构词关系另经关联词条交叉核对。,etymology_reference,reviewed,2026-09-04
ev-etym-suffixes,morpheme,derivational-suffixes,morphology,etymonline-suffixes,linked suffix entries,https://www.etymonline.com/word/-ity,核对 -ity 等派生后缀表达性质、状态或构成相应词类的作用；样板只按实际单词使用。,etymology_reference,reviewed,2026-09-04
ev-etym-port,morpheme,family-port,morphology,etymonline-port,verb portare and linked entries,https://www.etymonline.com/word/port,拉丁 portare 表示“携带、运送”，是 import、export、report、transport、support 的构词来源；港口义 port 单独登记。,etymology_reference,reviewed,2026-09-04
ev-etym-spect,morpheme,family-spect,morphology,etymonline-inspect,Latin specere and PIE spek,https://www.etymonline.com/word/inspect,inspect、respect、expect、prospect 共享“看、观察”的历史词根；expect 的 pect 为表面变体。,etymology_reference,reviewed,2026-09-04
ev-etym-airport,morpheme,compound-airport,morphology,etymonline-airport,compound history,https://www.etymonline.com/word/airport,airport 按现代英语透明复合结构 air + port 分析；此处 port 为“港口”词基。,etymology_reference,reviewed,2026-09-04
ev-etym-blackboard,morpheme,compound-blackboard,morphology,etymonline-blackboard,compound history,https://www.etymonline.com/word/blackboard,blackboard 为 black + board 的透明复合词。,etymology_reference,reviewed,2026-09-04
ev-etym-classroom,morpheme,compound-classroom,morphology,etymonline-classroom,compound history,https://www.etymonline.com/word/classroom,classroom 为 class + room 的透明复合词。,etymology_reference,reviewed,2026-09-04
ev-etym-newspaper,morpheme,compound-newspaper,morphology,etymonline-newspaper,compound history,https://www.etymonline.com/word/newspaper,newspaper 为 news + paper 的透明复合词。,etymology_reference,reviewed,2026-09-04
ev-etym-well-known,morpheme,compound-well-known,morphology,etymonline-well-known,compound history,https://www.etymonline.com/word/well-known,well-known 由 well 与 known 组合并保留连字符，整体作形容词。,etymology_reference,reviewed,2026-09-04
ev-etym-manufacture,morpheme,word-manufacture,morphology,etymonline-manufacture,Latin manu and factura,https://www.etymonline.com/word/manufacture,manufacture 源于 manu“手”与 factura“制作”，样板登记 manu 和 fact 两个真正词根。,etymology_reference,reviewed,2026-09-04
ev-etym-agriculture,morpheme,word-agriculture,morphology,etymonline-agriculture,Latin agri cultura,https://www.etymonline.com/word/agriculture,agriculture 源于 agri“田地”与 cultura“耕作”，样板登记 agr 和 cult 两个真正词根。,etymology_reference,reviewed,2026-09-04
