spelling	category	independentSense
accounting	lexicalized	会计、会计学，是专业或业务名称。
acting	lexicalized	表演这一活动，以及代理职务的形容词用法。
advanced	lexicalized	高级的、先进的，用于描述程度或水平。
aged	lexicalized	年老的、某岁数的，保留年龄表达与读音区别。
AIDS	false_lemma	疾病名称缩写；不能当作 aid 的第三人称单数。
alleged	lexicalized	所谓的、被指称的，含尚未证实之意。
appealing	lexicalized	有吸引力的，描述事物令人喜欢的性质。
bacteria	syllabus_form	考纲采用的细菌复数形式；当前目标表不另列 bacterium，在本条补单数。
banking	lexicalized	银行业、银行业务，是行业名称。
bearing	lexicalized	轴承、方位、关系、举止等独立名词义。
bedding	lexicalized	床上用品，指一类物品。
beginning	lexicalized	开端、开始部分，可作名词。
being	lexicalized	生物、存在，保留 human being 等名词用法。
best	irregular_comparison	大纲单列的不规则最高级，并有最佳者、最好地等用法；关联 good。
better	irregular_comparison	大纲单列的不规则比较级，并有改善的动词用法；关联 good。
bit	homograph	小块、少量、比特等义，不应随 bite 的过去式一并移除。
blessing	lexicalized	祝福、幸事，可作名词。
bore	homograph	使厌烦、钻孔等独立词义，与 bear 的过去式区分。
born	lexicalized	天生的，以及 be born 的固定出生表达。
bound	homograph	界限、跳跃，以及注定的等用法；不能只按 bind 的过去式处理。
boxing	lexicalized	拳击，是运动名称。
briefing	lexicalized	情况介绍、简报会，是可独立命名的活动。
broke	lexicalized	身无分文的，与 break 的时态变化区分。
building	lexicalized	建筑物，可数名词。
calculating	lexicalized	精于算计的，描述性格。
calling	lexicalized	职业、使命感，与 call 的动作变化区分。
challenging	lexicalized	有挑战性的，描述任务的难度。
charming	lexicalized	迷人的，描述人物或事物的吸引力。
classified	lexicalized	机密的，与普通分类动作区分。
compelling	lexicalized	令人信服的、引人入胜的，描述理由或内容。
concerning	lexicalized	关于，介词用法。
considering	lexicalized	考虑到，介词或连词用法。
contented	lexicalized	满足的，描述心理状态。
convincing	lexicalized	令人信服的，描述说法或证据。
corresponding	lexicalized	相应的，表示事物间的对应关系。
crossing	lexicalized	路口、人行横道、渡口等地点名词。
crowded	lexicalized	拥挤的，描述空间状态。
customs	lexicalized	海关、关税，与 custom 的习俗义复数区分。
cycling	lexicalized	骑自行车，是活动名称。
daring	lexicalized	大胆的、胆量，具有形容词和名词用法。
dating	reference_corrected	约会、确定年代；原参考仅有记日期等专业义，须补常用名词义。
dealing	lexicalized	交易、经营行为，保留商业名词用法。
demanding	lexicalized	要求高的、费力的，描述任务或人。
detailed	lexicalized	详细的，描述信息的细致程度。
determined	lexicalized	坚定的，描述决心。
disciplined	lexicalized	自律的、训练有素的，描述行为品质。
disgusting	lexicalized	令人厌恶的，描述引起的感受。
dove	homograph	鸽子，是独立名词，不随 dive 的过去式删除。
drawing	lexicalized	图画、绘画，是作品或活动名称。
drunk	lexicalized	醉的、醉汉；drink 的过去分词为 drunk，原参考的过去式标注需纠正。
dying	lexicalized	垂死的，描述生命状态。
encouraging	lexicalized	令人鼓舞的，描述消息或进展。
ending	lexicalized	结尾、结局，指作品或事件的一部分。
enlightening	lexicalized	有启发的，描述信息带来的理解。
entertaining	lexicalized	有趣的、令人愉快的，描述内容。
evening	false_lemma	傍晚、晚上不能按动词 even 的变化归并。
existing	lexicalized	现有的，用于区分已有和新添事物。
experienced	lexicalized	有经验的，描述能力水平。
extended	lexicalized	延长的、扩大的，保留 extended family 等固定用法。
farming	lexicalized	农业、农事，指行业或活动。
farther	irregular_comparison	大纲单列的不规则比较级，表达空间距离更远；关联 far，不再额外扩充其他变化。
feeling	lexicalized	感觉、情感，具有独立名词用法。
filling	lexicalized	馅料、填充物、补牙材料等物品名词。
finding	lexicalized	调查结果、发现，具有结果名词义。
fireworks	syllabus_form	考纲收录的烟花复数形式；当前目标表不另列 firework，在本条说明单复数。
fishing	lexicalized	钓鱼、捕鱼，是活动名称。
fixed	lexicalized	固定的，描述数额、位置等不变状态。
following	lexicalized	下列的、接下来的，并有追随者群体的名词义。
forgiving	lexicalized	宽容的，描述性格。
found	homograph	创立、建立，是独立动词；另说明 find 的过去式同形。
founding	reference_corrected	创立、创办，以及创始的；不只保留原参考的铸造专业义。
frustrating	lexicalized	令人沮丧的，描述引起的感受。
funding	reference_corrected	资金、资助，是独立名词；不只保留债务转期这一专业义。
further	lexicalized	进一步的、进一步地，以及促进的动词义。
gathering	lexicalized	聚会、集会，是活动名称。
gifted	lexicalized	有天赋的，描述能力。
