word_id,spelling,dictionary_headword,phonetic_reference,translation_reference,definition_en_reference,inflections_reference,source_id,match_method,review_status,issues
cet4-w-22115abbb1dbe5b95403,a,a,ei,"第一个字母 A; 一个; 第一的\r
art. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步","n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen",,ecdict-bc015ed2e24a,exact,draft,
cet4-w-bacdccd06e173fd821b1,abandon,abandon,ә'bændәn,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热","n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims",d:abandoned/p:abandoned/i:abandoning/3:abandons,ecdict-bc015ed2e24a,exact,draft,
cet4-w-798668299e6f528c3725,ability,ability,ә'biliti,"n. 能力, 才干
[经] 能力, 才能","n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
n. possession of the qualities (especially mental qualities) required to do something or get something done",s:abilities,ecdict-bc015ed2e24a,exact,draft,
cet4-w-4336a9e7fc5d08328b8e,able,able,'eibl,"a. 能干的, 能够的","a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something
s. have the skills and qualifications to do things well
s. having inherent physical or mental ability or capacity
s. having a strong healthy body",,ecdict-bc015ed2e24a,exact,draft,
cet4-w-9d84219b0f257903f894,aboard,aboard,ә'bɒ:d,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上","r. on a ship, train, plane or other vehicle
r. on first or second or third base
r. side by side
r. part of a group",,ecdict-bc015ed2e24a,exact,draft,
cet4-w-b888b06eecfb1127e3bb,abolish,abolish,ә'bɒliʃ,"vt. 废止, 革除, 消灭
[经] 废除, 取消, 裁撤",v. do away with,d:abolished/i:abolishing/p:abolished/3:abolishes,ecdict-bc015ed2e24a,exact,draft,
cet4-w-74ca0e6dddfece3e09eb,abolition,abolition,.æbәu'liʃәn,"n. 废除, 废奴运动
[医] 禁止, 消失",n. the act of abolishing a system or practice or institution (especially abolishing slavery),,ecdict-bc015ed2e24a,exact,draft,
cet4-w-10ad00b3ccf681d53631,about,about,ә'baut,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围","s. on the move
r. all around or on all sides
r. in the area or vicinity
r. used of movement to or among many different places or in no particular direction",,ecdict-bc015ed2e24a,exact,draft,
cet4-w-90aa713e8ba73eb8b681,above,above,ә'bʌv,"prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的","n. an earlier section of a written text
s. appearing earlier in the same text
r. at an earlier place
r. in or to a place that is higher",,ecdict-bc015ed2e24a,exact,draft,
cet4-w-901037a8628671fdfc19,abroad,abroad,ә'brɒ:d,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的","s. in a foreign country
r. to or in a foreign country",,ecdict-bc015ed2e24a,exact,draft,
cet4-w-16cc55aac24767aa14bb,absence,absence,'æbsәns,"n. 缺席, 缺乏, 没有
[医] 失神","n. the state of being absent
n. failure to be present
n. the time interval during which something or somebody is away
n. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy",s:absences,ecdict-bc015ed2e24a,exact,draft,
cet4-w-58351a181b08549dad1a,absent,absent,'æbsәnt,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席","v. go away or leave
a. not being in a specified place
s. lost in thought; showing preoccupation",p:absented/i:absenting/d:absented/3:absents,ecdict-bc015ed2e24a,exact,draft,
cet4-w-728ab43dd091b054e608,absolute,absolute,'æbsәlu:t,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物","n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
a. perfect or complete or pure
s. complete and without restriction or qualification; sometimes used informally as intensifiers
s. not limited by law",s:absolutes,ecdict-bc015ed2e24a,exact,draft,
cet4-w-4c1c8e3c067f577174b4,absorb,absorb,әb'sɒ:b,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
[医] 吸收","v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically",d:absorbed/p:absorbed/3:absorbs/i:absorbing,ecdict-bc015ed2e24a,exact,draft,
cet4-w-a04d74b471996c660373,absorption,absorption,әb'sɒ:pʃәn,"n. 吸收, 专心, 全神贯注
[化] 吸收; 吸收作用","n. (chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid
n. (physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium",s:absorptions,ecdict-bc015ed2e24a,exact,draft,
cet4-w-056469f90b3da87387a9,abstract,abstract,'æbstrækt,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
[计] 摘录; 摘要; 抽象","v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment",s:abstracts/d:abstracted/i:abstracting/3:abstracts/p:abstracted,ecdict-bc015ed2e24a,exact,draft,
cet4-w-6637e09f7003f326c224,abundance,abundance,ә'bʌndәns,"n. 丰富, 充足, 大量
[经] 丰富, 充裕","n. the property of a more than adequate quantity or supply
n. (physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present
n. (chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust; expressed as a percentage or in parts per million",s:abundances,ecdict-bc015ed2e24a,exact,draft,
