word_id,long_sentence_id,order_index,sentence,translation,difficulty_band,sentence_difficulty,target_word,target_sense,source_note,reader_parse_version,reader_parse_target_ref
cet4-w-dcc6b6de5d3f3f80ff02,cet4-w-dcc6b6de5d3f3f80ff02:long:001,0,"Although the alarm sounded before dawn, the guard acted at once and led every visitor to safety.",尽管警报在黎明前响起，警卫仍立即采取行动，把每位访客带到了安全地带。,四级中等,cet4_standard,act,采取行动,cyword_original,1,2
cet4-w-b4e76965b5a7943279ac,cet4-w-b4e76965b5a7943279ac:long:001,0,"Because repeated warnings had been ignored, the committee demanded immediate action to protect the river.",由于一再发出的警告都被忽视，委员会要求立即采取行动保护这条河。,四级中等,cet4_standard,action,行动；措施,cyword_original,1,2
cet4-w-560e8b954a1a6e8c9768,cet4-w-560e8b954a1a6e8c9768:long:001,0,Students who stay active outside class often develop skills that cannot be learned from textbooks alone.,课外保持活跃的学生，往往会培养出仅靠课本无法学到的能力。,四级中高,cet4_upper,active,活跃的；积极参与的,cyword_original,1,1
cet4-w-4ced4a567905ee623d9d,cet4-w-4ced4a567905ee623d9d:long:001,0,"While online activity makes information easier to share, it can also expose careless users to unnecessary risks.",网络活动虽然让信息更易分享，却也可能使粗心的用户面临不必要的风险。,四级中高,cet4_upper,activity,活动；行为,cyword_original,1,0
cet4-w-45384c5a5727e65aeb71,cet4-w-45384c5a5727e65aeb71:long:001,0,"Although the actor had only a minor role, his calm performance gave the final scene unexpected emotional weight.",尽管这位演员只有一个小角色，他沉稳的表演却给最后一幕增添了意外的情感分量。,四级中高,cet4_upper,actor,演员,cyword_original,1,0
cet4-w-25dfe87120b7c0b3f123,cet4-w-25dfe87120b7c0b3f123:long:001,0,"When customers react negatively to a new service, managers should examine the cause before changing the entire plan.",当顾客对一项新服务作出负面反应时，管理者应先查明原因，再改变整个计划。,四级中等,cet4_standard,react,作出反应,cyword_original,1,0
cet4-w-4336a9e7fc5d08328b8e,cet4-w-4336a9e7fc5d08328b8e:long:001,0,"By comparing several sources, readers are better able to recognize claims that lack reliable evidence.",通过比较多个来源，读者能更好地识别缺乏可靠证据的说法。,四级中高,cet4_upper,able,能够的,cyword_original,1,1
cet4-w-798668299e6f528c3725,cet4-w-798668299e6f528c3725:long:001,0,A student's ability to question familiar ideas often matters more than the number of facts that can be memorized.,学生质疑熟悉观点的能力，往往比能够记住多少事实更重要。,四级中高,cet4_upper,ability,能力,cyword_original,1,0
cet4-w-c87b5d351d670ef64440,cet4-w-c87b5d351d670ef64440:long:001,0,"If public data are presented clearly, they can enable citizens to judge whether a policy is working.",如果公共数据呈现得足够清楚，它们就能使公民判断一项政策是否有效。,四级中高,cet4_upper,enable,使能够,cyword_original,1,2
cet4-w-f41aa887a6195a11b2ae,cet4-w-f41aa887a6195a11b2ae:long:001,0,"Before installing unfamiliar software, users should check whether it may disable protections that keep their devices secure.",安装陌生软件之前，用户应检查它是否可能关闭保障设备安全的防护功能。,四级中高,cet4_upper,disable,禁用；使停止工作,cyword_original,1,2
cet4-w-8bcbba84a7d7eab25b03,cet4-w-8bcbba84a7d7eab25b03:long:001,0,"Although the old station now offers disabled access, several platforms still cannot be reached without assistance.",尽管这座老车站现在提供无障碍通行设施，仍有几个站台无法在无人协助的情况下到达。,四级中高,cet4_upper,disabled,为残障人士设置的,cyword_original,1,0
cet4-w-43ac0394e915760d27a8,cet4-w-43ac0394e915760d27a8:long:001,0,"When a country imports more energy than it produces, sudden price rises abroad can quickly affect local households.",当一个国家进口的能源多于本国产量时，国外价格突然上涨会迅速影响本国家庭。,四级中高,cet4_upper,import,进口,cyword_original,1,0
